primary,oxydb_mac_2020,genbank,genbank.1,number,mds_ies_db_2015
Contig13428.0.0v1,Contig13428.0.0v1,AMCR02019931,AMCR02019931.1,13428.0.0v1,
Contig13429.0,Contig13429.0,AMCR02019932,AMCR02019932.1,13429.0,OXYTRI_MAC_13429
Contig13429.0i1,Contig13429.0i1,AMCR02019933,AMCR02019933.1,13429.0i1,
Contig13430.0,Contig13430.0,AMCR02019934,AMCR02019934.1,13430.0,OXYTRI_MAC_13430
Contig13430.0v1,Contig13430.0v1,AMCR02019935,AMCR02019935.1,13430.0v1,
Contig13430.0v2,Contig13430.0v2,AMCR02019936,AMCR02019936.1,13430.0v2,
Contig13431.0,Contig13431.0,AMCR02019937,AMCR02019937.1,13431.0,OXYTRI_MAC_13431
Contig13432.0,Contig13432.0,AMCR02019938,AMCR02019938.1,13432.0,OXYTRI_MAC_13432
Contig13433.0,Contig13433.0,AMCR02019939,AMCR02019939.1,13433.0,OXYTRI_MAC_13433
Contig13435.0,Contig13435.0,AMCR02019940,AMCR02019940.1,13435.0,OXYTRI_MAC_13435
Contig13436.0,Contig13436.0,AMCR02019941,AMCR02019941.1,13436.0,OXYTRI_MAC_13436
Contig13436.0i1,Contig13436.0i1,AMCR02019942,AMCR02019942.1,13436.0i1,
Contig13438.0,Contig13438.0,AMCR02019943,AMCR02019943.1,13438.0,OXYTRI_MAC_13438
Contig13440.0,Contig13440.0,AMCR02019944,AMCR02019944.1,13440.0,OXYTRI_MAC_13440
Contig13441.0,Contig13441.0,AMCR02019945,AMCR02019945.1,13441.0,OXYTRI_MAC_13441
Contig13441.0i1,Contig13441.0i1,AMCR02019946,AMCR02019946.1,13441.0i1,
Contig13442.0,Contig13442.0,AMCR02019947,AMCR02019947.1,13442.0,OXYTRI_MAC_13442
Contig13443.0,Contig13443.0,AMCR02019948,AMCR02019948.1,13443.0,OXYTRI_MAC_13443
Contig13443.0i1,Contig13443.0i1,AMCR02019949,AMCR02019949.1,13443.0i1,
Contig13444.0,Contig13444.0,AMCR02019950,AMCR02019950.1,13444.0,OXYTRI_MAC_13444
Contig13444.0i1,Contig13444.0i1,AMCR02019951,AMCR02019951.1,13444.0i1,
Contig13444.0i1v1,Contig13444.0i1v1,AMCR02019952,AMCR02019952.1,13444.0i1v1,
Contig13444.0v1,Contig13444.0v1,AMCR02019953,AMCR02019953.1,13444.0v1,
Contig13445.0,Contig13445.0,AMCR02019954,AMCR02019954.1,13445.0,OXYTRI_MAC_13445
Contig13445.0i1,Contig13445.0i1,AMCR02019955,AMCR02019955.1,13445.0i1,
Contig13445.0i1v1,Contig13445.0i1v1,AMCR02019956,AMCR02019956.1,13445.0i1v1,
Contig13445.0i1v2,Contig13445.0i1v2,AMCR02019957,AMCR02019957.1,13445.0i1v2,
Contig13445.0i2,Contig13445.0i2,AMCR02019958,AMCR02019958.1,13445.0i2,
Contig13446.0,Contig13446.0,AMCR02019959,AMCR02019959.1,13446.0,OXYTRI_MAC_13446
Contig13447.0,Contig13447.0,AMCR02019960,AMCR02019960.1,13447.0,OXYTRI_MAC_13447
Contig13448.0,Contig13448.0,AMCR02019961,AMCR02019961.1,13448.0,OXYTRI_MAC_13448
Contig13451.0,Contig13451.0,AMCR02019962,AMCR02019962.1,13451.0,OXYTRI_MAC_13451
Contig13451.0v1,Contig13451.0v1,AMCR02019963,AMCR02019963.1,13451.0v1,
Contig13452.0,Contig13452.0,AMCR02019964,AMCR02019964.1,13452.0,OXYTRI_MAC_13452
Contig13453.0.0,Contig13453.0.0,AMCR02019965,AMCR02019965.1,13453.0.0,OXYTRI_MAC_25086
Contig13453.0.0v1,Contig13453.0.0v1,AMCR02019966,AMCR02019966.1,13453.0.0v1,
Contig13453.0.0i1,Contig13453.0.0i1,AMCR02019967,AMCR02019967.1,13453.0.0i1,
Contig13453.0.0i2,Contig13453.0.0i2,AMCR02019968,AMCR02019968.1,13453.0.0i2,
Contig13453.0.0i2v1,Contig13453.0.0i2v1,AMCR02019969,AMCR02019969.1,13453.0.0i2v1,
Contig13454.0,Contig13454.0,AMCR02019970,AMCR02019970.1,13454.0,OXYTRI_MAC_13454
Contig13455.0,Contig13455.0,AMCR02019971,AMCR02019971.1,13455.0,OXYTRI_MAC_13455
Contig13456.0,Contig13456.0,AMCR02019972,AMCR02019972.1,13456.0,OXYTRI_MAC_13456
Contig13458.0,Contig13458.0,AMCR02019973,AMCR02019973.1,13458.0,OXYTRI_MAC_13458
Contig13458.0i1,Contig13458.0i1,AMCR02019974,AMCR02019974.1,13458.0i1,
Contig13459.0,Contig13459.0,AMCR02019975,AMCR02019975.1,13459.0,OXYTRI_MAC_13459
Contig13459.0v1,Contig13459.0v1,AMCR02019976,AMCR02019976.1,13459.0v1,
Contig13460.0,Contig13460.0,AMCR02019977,AMCR02019977.1,13460.0,OXYTRI_MAC_13460
Contig13461.0,Contig13461.0,AMCR02019978,AMCR02019978.1,13461.0,OXYTRI_MAC_13461
Contig13462.0,Contig13462.0,AMCR02019979,AMCR02019979.1,13462.0,OXYTRI_MAC_13462
Contig13463.0,Contig13463.0,AMCR02019980,AMCR02019980.1,13463.0,OXYTRI_MAC_13463
Contig13464.0,Contig13464.0,AMCR02019981,AMCR02019981.1,13464.0,OXYTRI_MAC_13464
Contig13464.0i1,Contig13464.0i1,AMCR02019982,AMCR02019982.1,13464.0i1,
Contig13464.0i2,Contig13464.0i2,AMCR02019983,AMCR02019983.1,13464.0i2,
Contig13466.0.1,Contig13466.0.1,AMCR02019984,AMCR02019984.1,13466.0.1,OXYTRI_MAC_13466
Contig13467.0.1,Contig13467.0.1,AMCR02019985,AMCR02019985.1,13467.0.1,OXYTRI_MAC_13467
Contig13468.0,Contig13468.0,AMCR02019986,AMCR02019986.1,13468.0,OXYTRI_MAC_13468
Contig13469.0,Contig13469.0,AMCR02019987,AMCR02019987.1,13469.0,OXYTRI_MAC_13469
Contig13472.0,Contig13472.0,AMCR02019988,AMCR02019988.1,13472.0,OXYTRI_MAC_13472
Contig13473.0.0,Contig13473.0.0,AMCR02019989,AMCR02019989.1,13473.0.0,OXYTRI_MAC_13473
Contig13473.0.0i1,Contig13473.0.0i1,AMCR02019990,AMCR02019990.1,13473.0.0i1,
Contig13474.0,Contig13474.0,AMCR02019991,AMCR02019991.1,13474.0,OXYTRI_MAC_13474
Contig13474.0v1,Contig13474.0v1,AMCR02019992,AMCR02019992.1,13474.0v1,
Contig13477.0,Contig13477.0,AMCR02019993,AMCR02019993.1,13477.0,OXYTRI_MAC_13477
Contig13479.0,Contig13479.0,AMCR02019994,AMCR02019994.1,13479.0,OXYTRI_MAC_13479
Contig13479.0i1,Contig13479.0i1,AMCR02019995,AMCR02019995.1,13479.0i1,
Contig13479.0i2,Contig13479.0i2,AMCR02019996,AMCR02019996.1,13479.0i2,
Contig13482.0,Contig13482.0,AMCR02019997,AMCR02019997.1,13482.0,OXYTRI_MAC_13482
Contig13485.0,Contig13485.0,AMCR02019998,AMCR02019998.1,13485.0,OXYTRI_MAC_13485
Contig13485.0v1,Contig13485.0v1,AMCR02019999,AMCR02019999.1,13485.0v1,
Contig13485.0v2,Contig13485.0v2,AMCR02020000,AMCR02020000.1,13485.0v2,
Contig13486.0,Contig13486.0,AMCR02020001,AMCR02020001.1,13486.0,OXYTRI_MAC_13486
Contig13486.0i1,Contig13486.0i1,AMCR02020002,AMCR02020002.1,13486.0i1,
Contig13487.0,Contig13487.0,AMCR02020003,AMCR02020003.1,13487.0,OXYTRI_MAC_13487
Contig13487.0v1,Contig13487.0v1,AMCR02020004,AMCR02020004.1,13487.0v1,
Contig13488.0,Contig13488.0,AMCR02020005,AMCR02020005.1,13488.0,OXYTRI_MAC_13488
Contig13488.0i1,Contig13488.0i1,AMCR02020006,AMCR02020006.1,13488.0i1,
Contig13490.0,Contig13490.0,AMCR02020007,AMCR02020007.1,13490.0,OXYTRI_MAC_13490
Contig13490.0v1,Contig13490.0v1,AMCR02020008,AMCR02020008.1,13490.0v1,
Contig13491.0,Contig13491.0,AMCR02020009,AMCR02020009.1,13491.0,OXYTRI_MAC_13491
Contig13491.0i1,Contig13491.0i1,AMCR02020010,AMCR02020010.1,13491.0i1,
Contig13492.0.0,Contig13492.0.0,AMCR02020011,AMCR02020011.1,13492.0.0,OXYTRI_MAC_13492
Contig13492.0.0i1,Contig13492.0.0i1,AMCR02020012,AMCR02020012.1,13492.0.0i1,
Contig13492.0.0i1v1,Contig13492.0.0i1v1,AMCR02020013,AMCR02020013.1,13492.0.0i1v1,
Contig13492.0.1,Contig13492.0.1,AMCR02020014,AMCR02020014.1,13492.0.1,OXYTRI_MAC_24534
Contig13493.0,Contig13493.0,AMCR02020015,AMCR02020015.1,13493.0,OXYTRI_MAC_13493
Contig13493.0v1,Contig13493.0v1,AMCR02020016,AMCR02020016.1,13493.0v1,
Contig13493.0v2,Contig13493.0v2,AMCR02020017,AMCR02020017.1,13493.0v2,
Contig13493.0i1,Contig13493.0i1,AMCR02020018,AMCR02020018.1,13493.0i1,
Contig13494.0,Contig13494.0,AMCR02020019,AMCR02020019.1,13494.0,OXYTRI_MAC_13494
Contig13495.0,Contig13495.0,AMCR02020020,AMCR02020020.1,13495.0,OXYTRI_MAC_13495
Contig13495.0v1,Contig13495.0v1,AMCR02020021,AMCR02020021.1,13495.0v1,
Contig13497.0,Contig13497.0,AMCR02020022,AMCR02020022.1,13497.0,OXYTRI_MAC_13497
Contig13498.0,Contig13498.0,AMCR02020023,AMCR02020023.1,13498.0,OXYTRI_MAC_13498
Contig13498.0i1,Contig13498.0i1,AMCR02020024,AMCR02020024.1,13498.0i1,
Contig13499.0,Contig13499.0,AMCR02020025,AMCR02020025.1,13499.0,OXYTRI_MAC_13499
Contig13499.0v1,Contig13499.0v1,AMCR02020026,AMCR02020026.1,13499.0v1,
Contig13499.0i1,Contig13499.0i1,AMCR02020027,AMCR02020027.1,13499.0i1,
Contig13500.0,Contig13500.0,AMCR02020028,AMCR02020028.1,13500.0,OXYTRI_MAC_13500
Contig13500.0i1,Contig13500.0i1,AMCR02020029,AMCR02020029.1,13500.0i1,
Contig13501.0,Contig13501.0,AMCR02020030,AMCR02020030.1,13501.0,OXYTRI_MAC_13501
Contig13501.0v1,Contig13501.0v1,AMCR02020031,AMCR02020031.1,13501.0v1,
Contig13501.0v2,Contig13501.0v2,AMCR02020032,AMCR02020032.1,13501.0v2,
Contig13502.0,Contig13502.0,AMCR02020033,AMCR02020033.1,13502.0,OXYTRI_MAC_13502
Contig13502.0v1,Contig13502.0v1,AMCR02020034,AMCR02020034.1,13502.0v1,
Contig13503.0,Contig13503.0,AMCR02020035,AMCR02020035.1,13503.0,OXYTRI_MAC_13503
Contig13503.0v1,Contig13503.0v1,AMCR02020036,AMCR02020036.1,13503.0v1,
Contig13504.0,Contig13504.0,AMCR02020037,AMCR02020037.1,13504.0,OXYTRI_MAC_13504
Contig13504.0v1,Contig13504.0v1,AMCR02020038,AMCR02020038.1,13504.0v1,
Contig13507.0,Contig13507.0,AMCR02020039,AMCR02020039.1,13507.0,OXYTRI_MAC_13507
Contig13507.0v1,Contig13507.0v1,AMCR02020040,AMCR02020040.1,13507.0v1,
Contig13508.0,Contig13508.0,AMCR02020041,AMCR02020041.1,13508.0,OXYTRI_MAC_13508
Contig13508.0i1,Contig13508.0i1,AMCR02020042,AMCR02020042.1,13508.0i1,
Contig13508.0i1v1,Contig13508.0i1v1,AMCR02020043,AMCR02020043.1,13508.0i1v1,
Contig13508.0i1v2,Contig13508.0i1v2,AMCR02020044,AMCR02020044.1,13508.0i1v2,
Contig13508.0i1v3,Contig13508.0i1v3,AMCR02020045,AMCR02020045.1,13508.0i1v3,
Contig13510.0,Contig13510.0,AMCR02020046,AMCR02020046.1,13510.0,OXYTRI_MAC_13510
Contig13510.0v1,Contig13510.0v1,AMCR02020047,AMCR02020047.1,13510.0v1,
Contig13511.0,Contig13511.0,AMCR02020048,AMCR02020048.1,13511.0,OXYTRI_MAC_13511
Contig13511.0v1,Contig13511.0v1,AMCR02020049,AMCR02020049.1,13511.0v1,
Contig13512.0,Contig13512.0,AMCR02020050,AMCR02020050.1,13512.0,OXYTRI_MAC_13512
Contig13512.0i1,Contig13512.0i1,AMCR02020051,AMCR02020051.1,13512.0i1,
Contig13512.0i1v1,Contig13512.0i1v1,AMCR02020052,AMCR02020052.1,13512.0i1v1,
Contig13513.0,Contig13513.0,AMCR02020053,AMCR02020053.1,13513.0,OXYTRI_MAC_13513
Contig13513.0v1,Contig13513.0v1,AMCR02020054,AMCR02020054.1,13513.0v1,
Contig13514.0,Contig13514.0,AMCR02020055,AMCR02020055.1,13514.0,OXYTRI_MAC_13514
Contig13514.0i1,Contig13514.0i1,AMCR02020056,AMCR02020056.1,13514.0i1,
Contig13515.0,Contig13515.0,AMCR02020057,AMCR02020057.1,13515.0,OXYTRI_MAC_13515
Contig13516.0,Contig13516.0,AMCR02020058,AMCR02020058.1,13516.0,OXYTRI_MAC_13516
Contig13516.0v1,Contig13516.0v1,AMCR02020059,AMCR02020059.1,13516.0v1,
Contig13517.0,Contig13517.0,AMCR02020060,AMCR02020060.1,13517.0,OXYTRI_MAC_13517
Contig13517.0v1,Contig13517.0v1,AMCR02020061,AMCR02020061.1,13517.0v1,
Contig13518.0,Contig13518.0,AMCR02020062,AMCR02020062.1,13518.0,OXYTRI_MAC_13518
Contig13519.0,Contig13519.0,AMCR02020063,AMCR02020063.1,13519.0,OXYTRI_MAC_13519
Contig13519.0i1,Contig13519.0i1,AMCR02020064,AMCR02020064.1,13519.0i1,
Contig13520.0,Contig13520.0,AMCR02020065,AMCR02020065.1,13520.0,OXYTRI_MAC_13520
Contig13520.0i1,Contig13520.0i1,AMCR02020066,AMCR02020066.1,13520.0i1,
Contig13521.0,Contig13521.0,AMCR02020067,AMCR02020067.1,13521.0,OXYTRI_MAC_13521
Contig13521.0v1,Contig13521.0v1,AMCR02020068,AMCR02020068.1,13521.0v1,
Contig13521.0v2,Contig13521.0v2,AMCR02020069,AMCR02020069.1,13521.0v2,
Contig13521.0i1,Contig13521.0i1,AMCR02020070,AMCR02020070.1,13521.0i1,
Contig13523.0,Contig13523.0,AMCR02020071,AMCR02020071.1,13523.0,OXYTRI_MAC_13523
Contig13524.0,Contig13524.0,AMCR02020072,AMCR02020072.1,13524.0,OXYTRI_MAC_13524
Contig13524.0v1,Contig13524.0v1,AMCR02020073,AMCR02020073.1,13524.0v1,
Contig13525.0,Contig13525.0,AMCR02020074,AMCR02020074.1,13525.0,OXYTRI_MAC_13525
Contig13525.0v1,Contig13525.0v1,AMCR02020075,AMCR02020075.1,13525.0v1,
Contig13526.0,Contig13526.0,AMCR02020076,AMCR02020076.1,13526.0,OXYTRI_MAC_13526
Contig13528.0,Contig13528.0,AMCR02020077,AMCR02020077.1,13528.0,OXYTRI_MAC_13528
Contig13528.0v1,Contig13528.0v1,AMCR02020078,AMCR02020078.1,13528.0v1,
Contig13530.0,Contig13530.0,AMCR02020079,AMCR02020079.1,13530.0,OXYTRI_MAC_13530
Contig13530.0v1,Contig13530.0v1,AMCR02020080,AMCR02020080.1,13530.0v1,
Contig13530.0i1,Contig13530.0i1,AMCR02020081,AMCR02020081.1,13530.0i1,
Contig13531.0,Contig13531.0,AMCR02020082,AMCR02020082.1,13531.0,OXYTRI_MAC_13531
Contig13532.0,Contig13532.0,AMCR02020083,AMCR02020083.1,13532.0,OXYTRI_MAC_13532
Contig13533.0,Contig13533.0,AMCR02020084,AMCR02020084.1,13533.0,OXYTRI_MAC_13533
Contig13534.0,Contig13534.0,AMCR02020085,AMCR02020085.1,13534.0,OXYTRI_MAC_13534
Contig13534.0v1,Contig13534.0v1,AMCR02020086,AMCR02020086.1,13534.0v1,
Contig13535.0,Contig13535.0,AMCR02020087,AMCR02020087.1,13535.0,OXYTRI_MAC_13535
Contig13536.0,Contig13536.0,AMCR02020088,AMCR02020088.1,13536.0,OXYTRI_MAC_13536
Contig13536.0v1,Contig13536.0v1,AMCR02020089,AMCR02020089.1,13536.0v1,
Contig13537.0,Contig13537.0,AMCR02020090,AMCR02020090.1,13537.0,OXYTRI_MAC_13537
Contig13537.0v1,Contig13537.0v1,AMCR02020091,AMCR02020091.1,13537.0v1,
Contig13539.0,Contig13539.0,AMCR02020092,AMCR02020092.1,13539.0,OXYTRI_MAC_13539
Contig13539.0v1,Contig13539.0v1,AMCR02020093,AMCR02020093.1,13539.0v1,
Contig13539.0i1,Contig13539.0i1,AMCR02020094,AMCR02020094.1,13539.0i1,
Contig13539.0i1v1,Contig13539.0i1v1,AMCR02020095,AMCR02020095.1,13539.0i1v1,
Contig13540.0,Contig13540.0,AMCR02020096,AMCR02020096.1,13540.0,OXYTRI_MAC_13540
Contig13540.0v1,Contig13540.0v1,AMCR02020097,AMCR02020097.1,13540.0v1,
Contig13541.0,Contig13541.0,AMCR02020098,AMCR02020098.1,13541.0,OXYTRI_MAC_13541
Contig13541.0i1,Contig13541.0i1,AMCR02020099,AMCR02020099.1,13541.0i1,
Contig13541.0i1v1,Contig13541.0i1v1,AMCR02020100,AMCR02020100.1,13541.0i1v1,
Contig13541.0i2,Contig13541.0i2,AMCR02020101,AMCR02020101.1,13541.0i2,
Contig13542.0,Contig13542.0,AMCR02020102,AMCR02020102.1,13542.0,OXYTRI_MAC_13542
Contig13542.0v1,Contig13542.0v1,AMCR02020103,AMCR02020103.1,13542.0v1,
Contig13543.0,Contig13543.0,AMCR02020104,AMCR02020104.1,13543.0,OXYTRI_MAC_13543
Contig13544.0,Contig13544.0,AMCR02020105,AMCR02020105.1,13544.0,OXYTRI_MAC_13544
Contig13544.0v1,Contig13544.0v1,AMCR02020106,AMCR02020106.1,13544.0v1,
Contig13544.0v2,Contig13544.0v2,AMCR02020107,AMCR02020107.1,13544.0v2,
Contig13544.0v3,Contig13544.0v3,AMCR02020108,AMCR02020108.1,13544.0v3,
Contig13544.0v4,Contig13544.0v4,AMCR02020109,AMCR02020109.1,13544.0v4,
Contig13544.0v5,Contig13544.0v5,AMCR02020110,AMCR02020110.1,13544.0v5,
Contig13545.0,Contig13545.0,AMCR02020111,AMCR02020111.1,13545.0,OXYTRI_MAC_13545
Contig13546.0,Contig13546.0,AMCR02020112,AMCR02020112.1,13546.0,OXYTRI_MAC_13546
Contig13546.0v1,Contig13546.0v1,AMCR02020113,AMCR02020113.1,13546.0v1,
Contig13546.0v2,Contig13546.0v2,AMCR02020114,AMCR02020114.1,13546.0v2,
Contig13546.0v3,Contig13546.0v3,AMCR02020115,AMCR02020115.1,13546.0v3,
Contig13547.0,Contig13547.0,AMCR02020116,AMCR02020116.1,13547.0,OXYTRI_MAC_13547
Contig13547.0v1,Contig13547.0v1,AMCR02020117,AMCR02020117.1,13547.0v1,
Contig13548.0,Contig13548.0,AMCR02020118,AMCR02020118.1,13548.0,OXYTRI_MAC_13548
Contig13548.0v1,Contig13548.0v1,AMCR02020119,AMCR02020119.1,13548.0v1,
Contig13548.0v2,Contig13548.0v2,AMCR02020120,AMCR02020120.1,13548.0v2,
Contig13549.0,Contig13549.0,AMCR02020121,AMCR02020121.1,13549.0,OXYTRI_MAC_13549
Contig13550.0,Contig13550.0,AMCR02020122,AMCR02020122.1,13550.0,OXYTRI_MAC_13550
Contig13550.0i1,Contig13550.0i1,AMCR02020123,AMCR02020123.1,13550.0i1,
Contig13551.0,Contig13551.0,AMCR02020124,AMCR02020124.1,13551.0,OXYTRI_MAC_13551
Contig13551.0v1,Contig13551.0v1,AMCR02020125,AMCR02020125.1,13551.0v1,
Contig13551.0v2,Contig13551.0v2,AMCR02020126,AMCR02020126.1,13551.0v2,
Contig13551.0v3,Contig13551.0v3,AMCR02020127,AMCR02020127.1,13551.0v3,
Contig13553.0,Contig13553.0,AMCR02020128,AMCR02020128.1,13553.0,OXYTRI_MAC_13553
Contig13554.0,Contig13554.0,AMCR02020129,AMCR02020129.1,13554.0,OXYTRI_MAC_13554
Contig13558.0,Contig13558.0,AMCR02020130,AMCR02020130.1,13558.0,OXYTRI_MAC_13558
Contig13559.0,Contig13559.0,AMCR02020131,AMCR02020131.1,13559.0,OXYTRI_MAC_13559
Contig13559.0i1,Contig13559.0i1,AMCR02020132,AMCR02020132.1,13559.0i1,
Contig13560.0,Contig13560.0,AMCR02020133,AMCR02020133.1,13560.0,OXYTRI_MAC_13560
Contig13560.0i1,Contig13560.0i1,AMCR02020134,AMCR02020134.1,13560.0i1,
Contig13560.0i1v1,Contig13560.0i1v1,AMCR02020135,AMCR02020135.1,13560.0i1v1,
Contig13560.0i1v2,Contig13560.0i1v2,AMCR02020136,AMCR02020136.1,13560.0i1v2,
Contig13561.0,Contig13561.0,AMCR02020137,AMCR02020137.1,13561.0,OXYTRI_MAC_13561
Contig13562.0,Contig13562.0,AMCR02020138,AMCR02020138.1,13562.0,OXYTRI_MAC_13562
Contig13563.0,Contig13563.0,AMCR02020139,AMCR02020139.1,13563.0,OXYTRI_MAC_13563
Contig13563.0v1,Contig13563.0v1,AMCR02020140,AMCR02020140.1,13563.0v1,
Contig13564.0,Contig13564.0,AMCR02020141,AMCR02020141.1,13564.0,OXYTRI_MAC_13564
Contig13564.0v1,Contig13564.0v1,AMCR02020142,AMCR02020142.1,13564.0v1,
Contig13564.0v2,Contig13564.0v2,AMCR02020143,AMCR02020143.1,13564.0v2,
Contig13565.0,Contig13565.0,AMCR02020144,AMCR02020144.1,13565.0,OXYTRI_MAC_13565
Contig13566.0,Contig13566.0,AMCR02020145,AMCR02020145.1,13566.0,OXYTRI_MAC_13566
Contig13567.0,Contig13567.0,AMCR02020146,AMCR02020146.1,13567.0,OXYTRI_MAC_13567
Contig13568.0.0,Contig13568.0.0,AMCR02020147,AMCR02020147.1,13568.0.0,OXYTRI_MAC_13568
Contig13569.0,Contig13569.0,AMCR02020148,AMCR02020148.1,13569.0,OXYTRI_MAC_13569
Contig13569.0v1,Contig13569.0v1,AMCR02020149,AMCR02020149.1,13569.0v1,
Contig13570.0,Contig13570.0,AMCR02020150,AMCR02020150.1,13570.0,OXYTRI_MAC_13570
Contig13571.0,Contig13571.0,AMCR02020151,AMCR02020151.1,13571.0,OXYTRI_MAC_13571
Contig13571.0v1,Contig13571.0v1,AMCR02020152,AMCR02020152.1,13571.0v1,
Contig13572.0,Contig13572.0,AMCR02020153,AMCR02020153.1,13572.0,OXYTRI_MAC_13572
Contig13572.0v1,Contig13572.0v1,AMCR02020154,AMCR02020154.1,13572.0v1,
Contig13572.0v2,Contig13572.0v2,AMCR02020155,AMCR02020155.1,13572.0v2,
Contig13573.0,Contig13573.0,AMCR02020156,AMCR02020156.1,13573.0,OXYTRI_MAC_13573
Contig13573.0i1,Contig13573.0i1,AMCR02020157,AMCR02020157.1,13573.0i1,
Contig13574.0,Contig13574.0,AMCR02020158,AMCR02020158.1,13574.0,OXYTRI_MAC_13574
Contig13574.0v1,Contig13574.0v1,AMCR02020159,AMCR02020159.1,13574.0v1,
Contig13575.0,Contig13575.0,AMCR02020160,AMCR02020160.1,13575.0,OXYTRI_MAC_13575
Contig13577.0.0,Contig13577.0.0,AMCR02020161,AMCR02020161.1,13577.0.0,OXYTRI_MAC_13577
Contig13577.0.0i1,Contig13577.0.0i1,AMCR02020162,AMCR02020162.1,13577.0.0i1,
Contig13578.0,Contig13578.0,AMCR02020163,AMCR02020163.1,13578.0,OXYTRI_MAC_13578
Contig13578.0v1,Contig13578.0v1,AMCR02020164,AMCR02020164.1,13578.0v1,
Contig13578.0i1,Contig13578.0i1,AMCR02020165,AMCR02020165.1,13578.0i1,
Contig13578.0i1v1,Contig13578.0i1v1,AMCR02020166,AMCR02020166.1,13578.0i1v1,
Contig13578.0i1v2,Contig13578.0i1v2,AMCR02020167,AMCR02020167.1,13578.0i1v2,
Contig13579.0,Contig13579.0,AMCR02020168,AMCR02020168.1,13579.0,OXYTRI_MAC_13579
Contig13579.0v1,Contig13579.0v1,AMCR02020169,AMCR02020169.1,13579.0v1,
Contig13581.0.0,Contig13581.0.0,AMCR02020170,AMCR02020170.1,13581.0.0,OXYTRI_MAC_13581
Contig13581.0.0v1,Contig13581.0.0v1,AMCR02020171,AMCR02020171.1,13581.0.0v1,
Contig13582.0,Contig13582.0,AMCR02020172,AMCR02020172.1,13582.0,OXYTRI_MAC_13582
Contig13582.0v1,Contig13582.0v1,AMCR02020173,AMCR02020173.1,13582.0v1,
Contig13583.0,Contig13583.0,AMCR02020174,AMCR02020174.1,13583.0,OXYTRI_MAC_13583
Contig13583.0i1,Contig13583.0i1,AMCR02020175,AMCR02020175.1,13583.0i1,
Contig13584.0,Contig13584.0,AMCR02020176,AMCR02020176.1,13584.0,OXYTRI_MAC_13584
Contig13585.0,Contig13585.0,AMCR02020177,AMCR02020177.1,13585.0,OXYTRI_MAC_13585
Contig13585.0v1,Contig13585.0v1,AMCR02020178,AMCR02020178.1,13585.0v1,
Contig13586.0,Contig13586.0,AMCR02020179,AMCR02020179.1,13586.0,OXYTRI_MAC_13586
Contig13586.0v1,Contig13586.0v1,AMCR02020180,AMCR02020180.1,13586.0v1,
Contig13587.0,Contig13587.0,AMCR02020181,AMCR02020181.1,13587.0,OXYTRI_MAC_13587
Contig13588.0,Contig13588.0,AMCR02020182,AMCR02020182.1,13588.0,OXYTRI_MAC_13588
Contig13588.0v1,Contig13588.0v1,AMCR02020183,AMCR02020183.1,13588.0v1,
Contig13591.0,Contig13591.0,AMCR02020184,AMCR02020184.1,13591.0,OXYTRI_MAC_13591
Contig13591.0v2,Contig13591.0v2,AMCR02020185,AMCR02020185.1,13591.0v2,
Contig13592.0,Contig13592.0,AMCR02020186,AMCR02020186.1,13592.0,OXYTRI_MAC_13592
Contig13592.0i1,Contig13592.0i1,AMCR02020187,AMCR02020187.1,13592.0i1,
Contig13593.0,Contig13593.0,AMCR02020188,AMCR02020188.1,13593.0,OXYTRI_MAC_13593
Contig13593.0i1,Contig13593.0i1,AMCR02020189,AMCR02020189.1,13593.0i1,
Contig13594.0,Contig13594.0,AMCR02020190,AMCR02020190.1,13594.0,OXYTRI_MAC_13594
Contig13595.0,Contig13595.0,AMCR02020191,AMCR02020191.1,13595.0,OXYTRI_MAC_13595
Contig13596.0,Contig13596.0,AMCR02020192,AMCR02020192.1,13596.0,OXYTRI_MAC_13596
Contig13596.0i1,Contig13596.0i1,AMCR02020193,AMCR02020193.1,13596.0i1,
Contig13596.0i1v1,Contig13596.0i1v1,AMCR02020194,AMCR02020194.1,13596.0i1v1,
Contig13596.0i1v2,Contig13596.0i1v2,AMCR02020195,AMCR02020195.1,13596.0i1v2,
Contig13598.0,Contig13598.0,AMCR02020196,AMCR02020196.1,13598.0,OXYTRI_MAC_13598
Contig13599.0,Contig13599.0,AMCR02020197,AMCR02020197.1,13599.0,OXYTRI_MAC_13599
Contig13600.0,Contig13600.0,AMCR02020198,AMCR02020198.1,13600.0,OXYTRI_MAC_13600
Contig13600.0v1,Contig13600.0v1,AMCR02020199,AMCR02020199.1,13600.0v1,
Contig13600.0i1,Contig13600.0i1,AMCR02020200,AMCR02020200.1,13600.0i1,
Contig13602.0,Contig13602.0,AMCR02020201,AMCR02020201.1,13602.0,OXYTRI_MAC_13602
Contig13602.0v1,Contig13602.0v1,AMCR02020202,AMCR02020202.1,13602.0v1,
Contig13602.0v2,Contig13602.0v2,AMCR02020203,AMCR02020203.1,13602.0v2,
Contig13602.0i1,Contig13602.0i1,AMCR02020204,AMCR02020204.1,13602.0i1,
Contig13602.0i1v1,Contig13602.0i1v1,AMCR02020205,AMCR02020205.1,13602.0i1v1,
Contig13602.0i1v2,Contig13602.0i1v2,AMCR02020206,AMCR02020206.1,13602.0i1v2,
Contig13602.0i2,Contig13602.0i2,AMCR02020207,AMCR02020207.1,13602.0i2,
