primary,oxydb_mac_2020,genbank,genbank.1,number,mds_ies_db_2015
Contig4116.0,Contig4116.0,AMCR02007667,AMCR02007667.1,4116.0,OXYTRI_MAC_4116
Contig4116.0v1,Contig4116.0v1,AMCR02007668,AMCR02007668.1,4116.0v1,
Contig4116.0i1,Contig4116.0i1,AMCR02007669,AMCR02007669.1,4116.0i1,
Contig4116.0i2,Contig4116.0i2,AMCR02007670,AMCR02007670.1,4116.0i2,
Contig4120.0,Contig4120.0,AMCR02007671,AMCR02007671.1,4120.0,OXYTRI_MAC_4120
Contig4120.0v1,Contig4120.0v1,AMCR02007672,AMCR02007672.1,4120.0v1,
Contig4123.0.0,Contig4123.0.0,AMCR02007673,AMCR02007673.1,4123.0.0,OXYTRI_MAC_4123
Contig4129.0,Contig4129.0,AMCR02007674,AMCR02007674.1,4129.0,OXYTRI_MAC_4129
Contig4131.0,Contig4131.0,AMCR02007675,AMCR02007675.1,4131.0,OXYTRI_MAC_4131
Contig4133.0,Contig4133.0,AMCR02007676,AMCR02007676.1,4133.0,OXYTRI_MAC_4133
Contig4133.0i1,Contig4133.0i1,AMCR02007677,AMCR02007677.1,4133.0i1,
Contig4134.0.1,Contig4134.0.1,AMCR02007678,AMCR02007678.1,4134.0.1,OXYTRI_MAC_4134
Contig4135.0,Contig4135.0,AMCR02007679,AMCR02007679.1,4135.0,OXYTRI_MAC_4135
Contig4136.0,Contig4136.0,AMCR02007680,AMCR02007680.1,4136.0,OXYTRI_MAC_4136
Contig4137.0,Contig4137.0,AMCR02007681,AMCR02007681.1,4137.0,OXYTRI_MAC_4137
Contig4138.0,Contig4138.0,AMCR02007682,AMCR02007682.1,4138.0,OXYTRI_MAC_4138
Contig4138.0v1,Contig4138.0v1,AMCR02007683,AMCR02007683.1,4138.0v1,
Contig4139.0,Contig4139.0,AMCR02007684,AMCR02007684.1,4139.0,OXYTRI_MAC_4139
Contig4139.0i1,Contig4139.0i1,AMCR02007685,AMCR02007685.1,4139.0i1,
Contig4139.0i1v1,Contig4139.0i1v1,AMCR02007686,AMCR02007686.1,4139.0i1v1,
Contig4139.0i2,Contig4139.0i2,AMCR02007687,AMCR02007687.1,4139.0i2,
Contig4141.0,Contig4141.0,AMCR02007688,AMCR02007688.1,4141.0,OXYTRI_MAC_4141
Contig4141.0v1,Contig4141.0v1,AMCR02007689,AMCR02007689.1,4141.0v1,
Contig4141.0i1,Contig4141.0i1,AMCR02007690,AMCR02007690.1,4141.0i1,
Contig4141.0i1v1,Contig4141.0i1v1,AMCR02007691,AMCR02007691.1,4141.0i1v1,
Contig4144.0,Contig4144.0,AMCR02007692,AMCR02007692.1,4144.0,OXYTRI_MAC_4144
Contig4144.0v1,Contig4144.0v1,AMCR02007693,AMCR02007693.1,4144.0v1,
Contig4144.0v2,Contig4144.0v2,AMCR02007694,AMCR02007694.1,4144.0v2,
Contig4147.0,Contig4147.0,AMCR02007695,AMCR02007695.1,4147.0,
