primary,oxydb_mac_2012,number,mds_ies_db_2015
Contig8825.0.0,Contig8825.0.0,8825.0.0,OXYTRI_MAC_8825
Contig8826.0,Contig8826.0,8826.0,OXYTRI_MAC_8826
Contig13748.0,Contig13748.0,13748.0,OXYTRI_MAC_13748
Contig13749.0,Contig13749.0,13749.0,OXYTRI_MAC_13749
Contig13744.0,Contig13744.0,13744.0,OXYTRI_MAC_13744
Contig13745.0,Contig13745.0,13745.0,OXYTRI_MAC_13745
Contig13746.0,Contig13746.0,13746.0,OXYTRI_MAC_13746
Contig13747.0,Contig13747.0,13747.0,OXYTRI_MAC_13747
Contig13740.0,Contig13740.0,13740.0,OXYTRI_MAC_13740
Contig13741.0,Contig13741.0,13741.0,OXYTRI_MAC_13741
Contig13742.0.0,Contig13742.0.0,13742.0.0,OXYTRI_MAC_13742
Contig13743.0,Contig13743.0,13743.0,OXYTRI_MAC_13743
Contig7968.0,Contig7968.0,7968.0,
Contig7969.0,Contig7969.0,7969.0,OXYTRI_MAC_7969
Contig7960.0,Contig7960.0,7960.0,OXYTRI_MAC_7960
Contig7961.0,Contig7961.0,7961.0,OXYTRI_MAC_7961
Contig7962.0,Contig7962.0,7962.0,OXYTRI_MAC_7962
Contig7964.0,Contig7964.0,7964.0,OXYTRI_MAC_7964
Contig7965.0.1,Contig7965.0.1,7965.0.1,OXYTRI_MAC_7965
Contig7966.0,Contig7966.0,7966.0,OXYTRI_MAC_7966
Contig7967.0,Contig7967.0,7967.0,OXYTRI_MAC_7967
Contig14213.0,Contig14213.0,14213.0,OXYTRI_MAC_14213
Contig14212.0,Contig14212.0,14212.0,OXYTRI_MAC_14212
Contig14211.0,Contig14211.0,14211.0,OXYTRI_MAC_14211
Contig14217.0.1,Contig14217.0.1,14217.0.1,OXYTRI_MAC_14217
Contig14216.0.1,Contig14216.0.1,14216.0.1,OXYTRI_MAC_14216
Contig14215.0.0,Contig14215.0.0,14215.0.0,OXYTRI_MAC_8574
Contig14215.0.2,Contig14215.0.2,14215.0.2,OXYTRI_MAC_14215
Contig14214.0,Contig14214.0,14214.0,OXYTRI_MAC_14214
Contig14219.0,Contig14219.0,14219.0,OXYTRI_MAC_14219
Contig14218.0.0,Contig14218.0.0,14218.0.0,OXYTRI_MAC_14218
Contig14218.0.1,Contig14218.0.1,14218.0.1,OXYTRI_MAC_24581
Contig59.0,Contig59.0,59.0,OXYTRI_MAC_59
Contig58.0,Contig58.0,58.0,OXYTRI_MAC_58
Contig53.0.0,Contig53.0.0,53.0.0,OXYTRI_MAC_53
Contig52.0,Contig52.0,52.0,OXYTRI_MAC_52
Contig51.0,Contig51.0,51.0,OXYTRI_MAC_51
Contig50.0,Contig50.0,50.0,OXYTRI_MAC_50
Contig57.0,Contig57.0,57.0,OXYTRI_MAC_57
Contig56.0,Contig56.0,56.0,OXYTRI_MAC_56
Contig55.0,Contig55.0,55.0,OXYTRI_MAC_55
Contig54.0.0,Contig54.0.0,54.0.0,OXYTRI_MAC_54
Contig54.0.1,Contig54.0.1,54.0.1,OXYTRI_MAC_20203
Contig6619.0,Contig6619.0,6619.0,OXYTRI_MAC_6619
Contig6618.0,Contig6618.0,6618.0,OXYTRI_MAC_6618
Contig6610.0,Contig6610.0,6610.0,OXYTRI_MAC_6610
Contig6613.0,Contig6613.0,6613.0,OXYTRI_MAC_6613
Contig6612.0,Contig6612.0,6612.0,OXYTRI_MAC_6612
Contig6615.0,Contig6615.0,6615.0,OXYTRI_MAC_6615
Contig6614.0,Contig6614.0,6614.0,OXYTRI_MAC_4899
Contig6617.0,Contig6617.0,6617.0,OXYTRI_MAC_6617
Contig4613.0,Contig4613.0,4613.0,OXYTRI_MAC_4613
Contig4612.0,Contig4612.0,4612.0,OXYTRI_MAC_4612
Contig4610.0,Contig4610.0,4610.0,OXYTRI_MAC_4610
Contig4617.0,Contig4617.0,4617.0,OXYTRI_MAC_4617
Contig4616.0,Contig4616.0,4616.0,
Contig4615.0.1,Contig4615.0.1,4615.0.1,OXYTRI_MAC_4615
Contig4614.0,Contig4614.0,4614.0,OXYTRI_MAC_4614
Contig4618.0.0,Contig4618.0.0,4618.0.0,OXYTRI_MAC_4618
Contig1069.0,Contig1069.0,1069.0,OXYTRI_MAC_1069
Contig1068.0.0,Contig1068.0.0,1068.0.0,OXYTRI_MAC_1068
