primary,oxydb_mac_2012,number,mds_ies_db_2015
Contig6524.0,Contig6524.0,6524.0,
Contig2068.0,Contig2068.0,2068.0,OXYTRI_MAC_2068
Contig2069.0.0,Contig2069.0.0,2069.0.0,OXYTRI_MAC_2069
Contig2069.0.1,Contig2069.0.1,2069.0.1,OXYTRI_MAC_24721
Contig15191.0,Contig15191.0,15191.0,OXYTRI_MAC_15191
Contig2062.0,Contig2062.0,2062.0,OXYTRI_MAC_2062
Contig2063.0,Contig2063.0,2063.0,OXYTRI_MAC_2063
Contig2060.0,Contig2060.0,2060.0,
Contig2061.0,Contig2061.0,2061.0,OXYTRI_MAC_2061
Contig2066.0,Contig2066.0,2066.0,
Contig2067.0.1,Contig2067.0.1,2067.0.1,OXYTRI_MAC_2067
Contig2064.0,Contig2064.0,2064.0,
Contig2065.0,Contig2065.0,2065.0,OXYTRI_MAC_2065
Contig19302.0,Contig19302.0,19302.0,OXYTRI_MAC_19302
Contig4969.0,Contig4969.0,4969.0,OXYTRI_MAC_4969
Contig4968.0,Contig4968.0,4968.0,OXYTRI_MAC_4968
Contig4965.0,Contig4965.0,4965.0,OXYTRI_MAC_4965
Contig4964.0,Contig4964.0,4964.0,OXYTRI_MAC_4964
Contig4967.0,Contig4967.0,4967.0,OXYTRI_MAC_4967
Contig4960.0,Contig4960.0,4960.0,OXYTRI_MAC_4960
Contig4963.0,Contig4963.0,4963.0,OXYTRI_MAC_4963
Contig5382.0,Contig5382.0,5382.0,OXYTRI_MAC_5382
Contig5380.0,Contig5380.0,5380.0,OXYTRI_MAC_5380
Contig5381.0,Contig5381.0,5381.0,OXYTRI_MAC_5381
Contig5386.0,Contig5386.0,5386.0,OXYTRI_MAC_5386
Contig5384.0.1,Contig5384.0.1,5384.0.1,OXYTRI_MAC_5384
Contig5389.0,Contig5389.0,5389.0,OXYTRI_MAC_5389
Contig6729.0,Contig6729.0,6729.0,OXYTRI_MAC_6729
Contig6728.0.1,Contig6728.0.1,6728.0.1,OXYTRI_MAC_6728
Contig759.0,Contig759.0,759.0,OXYTRI_MAC_759
Contig758.0,Contig758.0,758.0,OXYTRI_MAC_758
Contig755.0,Contig755.0,755.0,OXYTRI_MAC_755
Contig754.0,Contig754.0,754.0,OXYTRI_MAC_754
Contig757.0,Contig757.0,757.0,OXYTRI_MAC_26495
Contig756.0,Contig756.0,756.0,
Contig751.0,Contig751.0,751.0,OXYTRI_MAC_751
Contig750.0,Contig750.0,750.0,OXYTRI_MAC_750
Contig753.0,Contig753.0,753.0,OXYTRI_MAC_753
Contig752.0,Contig752.0,752.0,OXYTRI_MAC_752
Contig4388.0,Contig4388.0,4388.0,OXYTRI_MAC_4388
Contig4381.0,Contig4381.0,4381.0,OXYTRI_MAC_4381
Contig4380.0,Contig4380.0,4380.0,OXYTRI_MAC_4380
Contig4383.0.1,Contig4383.0.1,4383.0.1,OXYTRI_MAC_4383
Contig4382.0,Contig4382.0,4382.0,OXYTRI_MAC_4382
Contig4385.0,Contig4385.0,4385.0,OXYTRI_MAC_4385
Contig4384.0,Contig4384.0,4384.0,OXYTRI_MAC_4384
Contig4387.0,Contig4387.0,4387.0,OXYTRI_MAC_4387
Contig4386.0,Contig4386.0,4386.0,OXYTRI_MAC_4386
Contig8501.0,Contig8501.0,8501.0,OXYTRI_MAC_8501
Contig14099.0,Contig14099.0,14099.0,OXYTRI_MAC_14099
Contig6724.0,Contig6724.0,6724.0,OXYTRI_MAC_6724
Contig4033.0,Contig4033.0,4033.0,OXYTRI_MAC_4033
Contig4032.0,Contig4032.0,4032.0,OXYTRI_MAC_4032
Contig4030.0,Contig4030.0,4030.0,OXYTRI_MAC_4030
Contig4037.0,Contig4037.0,4037.0,OXYTRI_MAC_4037
Contig4036.0,Contig4036.0,4036.0,OXYTRI_MAC_4036
Contig4035.0,Contig4035.0,4035.0,OXYTRI_MAC_4035
Contig4034.0,Contig4034.0,4034.0,OXYTRI_MAC_4034
Contig4039.0,Contig4039.0,4039.0,OXYTRI_MAC_4039
Contig4038.0,Contig4038.0,4038.0,OXYTRI_MAC_4038
Contig1608.0,Contig1608.0,1608.0,OXYTRI_MAC_25106
Contig1602.0,Contig1602.0,1602.0,OXYTRI_MAC_1602
Contig1601.0,Contig1601.0,1601.0,OXYTRI_MAC_1601
Contig1600.0,Contig1600.0,1600.0,OXYTRI_MAC_1600
Contig1607.0,Contig1607.0,1607.0,
Contig1606.0,Contig1606.0,1606.0,OXYTRI_MAC_1606
Contig1605.0,Contig1605.0,1605.0,OXYTRI_MAC_1605
Contig7609.0.0,Contig7609.0.0,7609.0.0,OXYTRI_MAC_7609
Contig7609.0.1,Contig7609.0.1,7609.0.1,
Contig7608.0,Contig7608.0,7608.0,OXYTRI_MAC_7608
Contig7605.0,Contig7605.0,7605.0,OXYTRI_MAC_7605
Contig7604.0,Contig7604.0,7604.0,OXYTRI_MAC_7604
Contig7607.0,Contig7607.0,7607.0,OXYTRI_MAC_7607
Contig7606.0,Contig7606.0,7606.0,OXYTRI_MAC_7606
Contig7601.0,Contig7601.0,7601.0,
Contig7603.0,Contig7603.0,7603.0,OXYTRI_MAC_7603
Contig7602.0,Contig7602.0,7602.0,OXYTRI_MAC_7602
Contig10613.0,Contig10613.0,10613.0,OXYTRI_MAC_10613
Contig10612.0,Contig10612.0,10612.0,OXYTRI_MAC_10612
Contig15223.0,Contig15223.0,15223.0,OXYTRI_MAC_15223
Contig22946.0,Contig22946.0,22946.0,OXYTRI_MAC_22946
Contig22947.0,Contig22947.0,22947.0,OXYTRI_MAC_22947
Contig10610.0,Contig10610.0,10610.0,OXYTRI_MAC_10610
Contig22942.0,Contig22942.0,22942.0,OXYTRI_MAC_22942
Contig22940.0,Contig22940.0,22940.0,OXYTRI_MAC_22940
Contig22941.0,Contig22941.0,22941.0,OXYTRI_MAC_22941
Contig10617.0,Contig10617.0,10617.0,OXYTRI_MAC_10617
Contig22948.0,Contig22948.0,22948.0,OXYTRI_MAC_22948
Contig15224.0,Contig15224.0,15224.0,OXYTRI_MAC_15224
Contig11913.0,Contig11913.0,11913.0,OXYTRI_MAC_11913
Contig11912.0,Contig11912.0,11912.0,OXYTRI_MAC_11912
Contig11910.0,Contig11910.0,11910.0,OXYTRI_MAC_11910
Contig11916.0,Contig11916.0,11916.0,OXYTRI_MAC_11916
Contig11915.0.2,Contig11915.0.2,11915.0.2,OXYTRI_MAC_11915
Contig11914.0,Contig11914.0,11914.0,OXYTRI_MAC_11914
Contig11918.0,Contig11918.0,11918.0,OXYTRI_MAC_11918
Contig962.0,Contig962.0,962.0,OXYTRI_MAC_962
Contig6953.0,Contig6953.0,6953.0,OXYTRI_MAC_6953
Contig6950.0,Contig6950.0,6950.0,OXYTRI_MAC_6950
Contig6951.0,Contig6951.0,6951.0,OXYTRI_MAC_6951
Contig6956.0,Contig6956.0,6956.0,OXYTRI_MAC_6956
Contig6957.0,Contig6957.0,6957.0,OXYTRI_MAC_6957
Contig6954.0,Contig6954.0,6954.0,OXYTRI_MAC_6954
Contig6958.0.0,Contig6958.0.0,6958.0.0,
Contig6959.0,Contig6959.0,6959.0,
Contig19858.0,Contig19858.0,19858.0,OXYTRI_MAC_19858
Contig19859.0,Contig19859.0,19859.0,OXYTRI_MAC_19859
Contig19852.0,Contig19852.0,19852.0,OXYTRI_MAC_19852
Contig19853.0,Contig19853.0,19853.0,OXYTRI_MAC_19853
Contig19850.0,Contig19850.0,19850.0,OXYTRI_MAC_19850
Contig19851.0,Contig19851.0,19851.0,OXYTRI_MAC_19851
Contig19856.0,Contig19856.0,19856.0,OXYTRI_MAC_19856
Contig19857.0,Contig19857.0,19857.0,OXYTRI_MAC_19857
Contig19854.0,Contig19854.0,19854.0,OXYTRI_MAC_19854
Contig12754.0,Contig12754.0,12754.0,OXYTRI_MAC_12754
Contig12756.0,Contig12756.0,12756.0,OXYTRI_MAC_12756
Contig12757.0,Contig12757.0,12757.0,OXYTRI_MAC_12757
Contig12750.0,Contig12750.0,12750.0,OXYTRI_MAC_12750
Contig12751.0,Contig12751.0,12751.0,OXYTRI_MAC_12751
Contig12752.0,Contig12752.0,12752.0,OXYTRI_MAC_12752
Contig12753.0,Contig12753.0,12753.0,OXYTRI_MAC_12753
Contig12758.0,Contig12758.0,12758.0,OXYTRI_MAC_12758
Contig12759.0,Contig12759.0,12759.0,OXYTRI_MAC_12759
Contig19588.0.1,Contig19588.0.1,19588.0.1,OXYTRI_MAC_19588
Contig19589.0.0,Contig19589.0.0,19589.0.0,OXYTRI_MAC_19589
Contig14758.0,Contig14758.0,14758.0,OXYTRI_MAC_14758
Contig14759.0,Contig14759.0,14759.0,OXYTRI_MAC_14759
Contig14756.0.0,Contig14756.0.0,14756.0.0,OXYTRI_MAC_14756
Contig14756.0.1,Contig14756.0.1,14756.0.1,
Contig14757.0,Contig14757.0,14757.0,OXYTRI_MAC_14757
Contig14754.0.0,Contig14754.0.0,14754.0.0,OXYTRI_MAC_14754
Contig14755.0,Contig14755.0,14755.0,OXYTRI_MAC_14755
Contig14752.0,Contig14752.0,14752.0,OXYTRI_MAC_14752
Contig14753.0,Contig14753.0,14753.0,OXYTRI_MAC_14753
Contig14750.0,Contig14750.0,14750.0,OXYTRI_MAC_14750
Contig19583.0,Contig19583.0,19583.0,OXYTRI_MAC_19583
Contig22443.0,Contig22443.0,22443.0,OXYTRI_MAC_22443
Contig22442.0,Contig22442.0,22442.0,OXYTRI_MAC_22442
Contig22441.0,Contig22441.0,22441.0,OXYTRI_MAC_22441
Contig13408.0,Contig13408.0,13408.0,OXYTRI_MAC_13408
Contig22447.0,Contig22447.0,22447.0,OXYTRI_MAC_22447
Contig22446.0,Contig22446.0,22446.0,OXYTRI_MAC_22446
Contig22445.0,Contig22445.0,22445.0,OXYTRI_MAC_22445
Contig22444.0,Contig22444.0,22444.0,OXYTRI_MAC_22444
Contig13403.0,Contig13403.0,13403.0,OXYTRI_MAC_13403
Contig13402.0,Contig13402.0,13402.0,OXYTRI_MAC_13402
Contig13401.0,Contig13401.0,13401.0,OXYTRI_MAC_13401
Contig13400.0,Contig13400.0,13400.0,OXYTRI_MAC_13400
Contig13407.0,Contig13407.0,13407.0,OXYTRI_MAC_13407
Contig13406.0,Contig13406.0,13406.0,OXYTRI_MAC_13406
Contig13405.0,Contig13405.0,13405.0,OXYTRI_MAC_13405
Contig13404.0,Contig13404.0,13404.0,OXYTRI_MAC_13404
Contig21626.0,Contig21626.0,21626.0,OXYTRI_MAC_21626
Contig21627.0,Contig21627.0,21627.0,OXYTRI_MAC_21627
Contig21624.0,Contig21624.0,21624.0,OXYTRI_MAC_21624
Contig21625.0,Contig21625.0,21625.0,OXYTRI_MAC_21625
Contig21622.0,Contig21622.0,21622.0,OXYTRI_MAC_21622
Contig21623.0,Contig21623.0,21623.0,OXYTRI_MAC_21623
Contig21620.0,Contig21620.0,21620.0,OXYTRI_MAC_21620
Contig21621.0,Contig21621.0,21621.0,OXYTRI_MAC_21621
Contig21628.0,Contig21628.0,21628.0,OXYTRI_MAC_21628
Contig21629.0,Contig21629.0,21629.0,OXYTRI_MAC_21629
Contig20975.0,Contig20975.0,20975.0,OXYTRI_MAC_20975
Contig20974.0,Contig20974.0,20974.0,OXYTRI_MAC_20974
Contig20977.0,Contig20977.0,20977.0,OXYTRI_MAC_20977
Contig20976.0,Contig20976.0,20976.0,OXYTRI_MAC_20976
Contig20971.0.1,Contig20971.0.1,20971.0.1,OXYTRI_MAC_20971
Contig20970.0,Contig20970.0,20970.0,OXYTRI_MAC_20970
Contig20973.0,Contig20973.0,20973.0,OXYTRI_MAC_20973
Contig20972.0,Contig20972.0,20972.0,OXYTRI_MAC_20972
Contig20979.0,Contig20979.0,20979.0,OXYTRI_MAC_20979
Contig20978.0,Contig20978.0,20978.0,OXYTRI_MAC_20978
Contig18060.0,Contig18060.0,18060.0,OXYTRI_MAC_18060
Contig22194.0,Contig22194.0,22194.0,OXYTRI_MAC_22194
Contig18062.0,Contig18062.0,18062.0,OXYTRI_MAC_18062
Contig18063.0,Contig18063.0,18063.0,OXYTRI_MAC_18063
Contig18064.0,Contig18064.0,18064.0,OXYTRI_MAC_18064
Contig22190.0,Contig22190.0,22190.0,OXYTRI_MAC_22190
Contig18066.0,Contig18066.0,18066.0,OXYTRI_MAC_18066
Contig22192.0,Contig22192.0,22192.0,OXYTRI_MAC_22192
Contig18068.0,Contig18068.0,18068.0,OXYTRI_MAC_18068
Contig18069.0,Contig18069.0,18069.0,OXYTRI_MAC_18069
Contig22199.0,Contig22199.0,22199.0,OXYTRI_MAC_22199
Contig22198.0,Contig22198.0,22198.0,OXYTRI_MAC_22198
Contig10275.0,Contig10275.0,10275.0,OXYTRI_MAC_10275
Contig10274.0,Contig10274.0,10274.0,OXYTRI_MAC_10274
Contig10277.0.2,Contig10277.0.2,10277.0.2,OXYTRI_MAC_10277
Contig10276.0,Contig10276.0,10276.0,OXYTRI_MAC_10276
Contig10271.0,Contig10271.0,10271.0,OXYTRI_MAC_10271
Contig10270.0,Contig10270.0,10270.0,OXYTRI_MAC_10270
Contig10273.0,Contig10273.0,10273.0,OXYTRI_MAC_10273
Contig10272.0,Contig10272.0,10272.0,OXYTRI_MAC_10272
Contig10279.0,Contig10279.0,10279.0,OXYTRI_MAC_10279
Contig10278.0,Contig10278.0,10278.0,OXYTRI_MAC_10278
Contig11584.0,Contig11584.0,11584.0,OXYTRI_MAC_11584
Contig11585.0.1,Contig11585.0.1,11585.0.1,OXYTRI_MAC_11585
Contig11586.0,Contig11586.0,11586.0,OXYTRI_MAC_11586
Contig11587.0,Contig11587.0,11587.0,OXYTRI_MAC_11587
Contig11581.0,Contig11581.0,11581.0,OXYTRI_MAC_11581
Contig11582.0.0,Contig11582.0.0,11582.0.0,OXYTRI_MAC_11582
Contig11589.0,Contig11589.0,11589.0,OXYTRI_MAC_11589
Contig21082.0,Contig21082.0,21082.0,OXYTRI_MAC_21082
Contig21083.0,Contig21083.0,21083.0,OXYTRI_MAC_21083
Contig21080.0,Contig21080.0,21080.0,OXYTRI_MAC_21080
Contig21081.0,Contig21081.0,21081.0,OXYTRI_MAC_21081
Contig21086.0,Contig21086.0,21086.0,OXYTRI_MAC_21086
Contig21087.0.0,Contig21087.0.0,21087.0.0,OXYTRI_MAC_21087
Contig10189.0,Contig10189.0,10189.0,OXYTRI_MAC_10189
Contig10188.0,Contig10188.0,10188.0,OXYTRI_MAC_10188
Contig10187.0,Contig10187.0,10187.0,OXYTRI_MAC_10187
Contig10186.0,Contig10186.0,10186.0,OXYTRI_MAC_10186
Contig10185.0,Contig10185.0,10185.0,OXYTRI_MAC_10185
Contig21089.0,Contig21089.0,21089.0,OXYTRI_MAC_21089
Contig10183.0,Contig10183.0,10183.0,OXYTRI_MAC_10183
Contig10182.0,Contig10182.0,10182.0,OXYTRI_MAC_10182
Contig15939.0,Contig15939.0,15939.0,OXYTRI_MAC_15939
Contig15938.0,Contig15938.0,15938.0,OXYTRI_MAC_15938
Contig15931.0,Contig15931.0,15931.0,OXYTRI_MAC_15931
Contig15930.0,Contig15930.0,15930.0,OXYTRI_MAC_15930
Contig15933.0,Contig15933.0,15933.0,OXYTRI_MAC_15933
Contig15935.0,Contig15935.0,15935.0,OXYTRI_MAC_15935
Contig15934.0,Contig15934.0,15934.0,OXYTRI_MAC_15934
Contig15937.0,Contig15937.0,15937.0,OXYTRI_MAC_15937
Contig15936.0,Contig15936.0,15936.0,OXYTRI_MAC_15936
Contig19009.0,Contig19009.0,19009.0,OXYTRI_MAC_19009
Contig19008.0,Contig19008.0,19008.0,OXYTRI_MAC_19008
Contig19001.0,Contig19001.0,19001.0,OXYTRI_MAC_19001
Contig19000.0,Contig19000.0,19000.0,OXYTRI_MAC_19000
Contig19003.0,Contig19003.0,19003.0,OXYTRI_MAC_19003
Contig19002.0,Contig19002.0,19002.0,OXYTRI_MAC_19002
Contig19005.0,Contig19005.0,19005.0,OXYTRI_MAC_19005
Contig19004.0,Contig19004.0,19004.0,OXYTRI_MAC_19004
Contig19007.0,Contig19007.0,19007.0,OXYTRI_MAC_19007
Contig19006.0,Contig19006.0,19006.0,OXYTRI_MAC_19006
Contig11638.0,Contig11638.0,11638.0,OXYTRI_MAC_11638
Contig11639.0,Contig11639.0,11639.0,OXYTRI_MAC_11639
Contig11636.0,Contig11636.0,11636.0,OXYTRI_MAC_11636
Contig11637.0.0,Contig11637.0.0,11637.0.0,OXYTRI_MAC_11637
Contig11634.0,Contig11634.0,11634.0,OXYTRI_MAC_11634
Contig11635.0,Contig11635.0,11635.0,OXYTRI_MAC_11635
Contig11632.0,Contig11632.0,11632.0,OXYTRI_MAC_11632
Contig11633.0,Contig11633.0,11633.0,OXYTRI_MAC_11633
Contig11630.0,Contig11630.0,11630.0,OXYTRI_MAC_11630
Contig11631.0,Contig11631.0,11631.0,OXYTRI_MAC_11631
Contig22511.0,Contig22511.0,22511.0,OXYTRI_MAC_22511
Contig20029.0,Contig20029.0,20029.0,OXYTRI_MAC_20029
Contig22510.0,Contig22510.0,22510.0,OXYTRI_MAC_22510
Contig20023.0,Contig20023.0,20023.0,OXYTRI_MAC_20023
Contig20022.0,Contig20022.0,20022.0,OXYTRI_MAC_20022
Contig20021.0,Contig20021.0,20021.0,OXYTRI_MAC_20021
Contig20020.0,Contig20020.0,20020.0,OXYTRI_MAC_20020
Contig20027.0.1,Contig20027.0.1,20027.0.1,OXYTRI_MAC_20027
Contig20026.0,Contig20026.0,20026.0,OXYTRI_MAC_20026
Contig20025.0,Contig20025.0,20025.0,OXYTRI_MAC_20025
Contig20024.0,Contig20024.0,20024.0,OXYTRI_MAC_20024
Contig22519.0,Contig22519.0,22519.0,OXYTRI_MAC_22519
Contig22518.0,Contig22518.0,22518.0,OXYTRI_MAC_22518
Contig18842.0,Contig18842.0,18842.0,OXYTRI_MAC_18842
Contig18843.0,Contig18843.0,18843.0,OXYTRI_MAC_18843
Contig18840.0,Contig18840.0,18840.0,OXYTRI_MAC_18840
Contig18841.0,Contig18841.0,18841.0,OXYTRI_MAC_18841
Contig18846.0,Contig18846.0,18846.0,OXYTRI_MAC_18846
Contig18847.0,Contig18847.0,18847.0,OXYTRI_MAC_18847
Contig18844.0,Contig18844.0,18844.0,OXYTRI_MAC_18844
Contig18845.0,Contig18845.0,18845.0,OXYTRI_MAC_18845
Contig18848.0,Contig18848.0,18848.0,OXYTRI_MAC_18848
Contig18849.0,Contig18849.0,18849.0,OXYTRI_MAC_18849
Contig3042.0,Contig3042.0,3042.0,OXYTRI_MAC_3042
Contig9015.0,Contig9015.0,9015.0,OXYTRI_MAC_9015
Contig9013.0,Contig9013.0,9013.0,OXYTRI_MAC_9013
Contig9010.0,Contig9010.0,9010.0,OXYTRI_MAC_9010
Contig9011.0.1,Contig9011.0.1,9011.0.1,OXYTRI_MAC_9011
Contig9018.0.0,Contig9018.0.0,9018.0.0,
Contig14518.0.0,Contig14518.0.0,14518.0.0,OXYTRI_MAC_14518
Contig14519.0,Contig14519.0,14519.0,OXYTRI_MAC_14519
Contig14514.0,Contig14514.0,14514.0,OXYTRI_MAC_14514
Contig14515.0,Contig14515.0,14515.0,OXYTRI_MAC_14515
Contig14516.0,Contig14516.0,14516.0,OXYTRI_MAC_14516
Contig14511.0,Contig14511.0,14511.0,OXYTRI_MAC_14511
Contig14512.0,Contig14512.0,14512.0,OXYTRI_MAC_14512
Contig14513.0,Contig14513.0,14513.0,OXYTRI_MAC_14513
Contig6286.0,Contig6286.0,6286.0,OXYTRI_MAC_6286
Contig6287.0,Contig6287.0,6287.0,
Contig6285.0,Contig6285.0,6285.0,
Contig6282.0,Contig6282.0,6282.0,OXYTRI_MAC_6282
Contig6283.0,Contig6283.0,6283.0,OXYTRI_MAC_6283
Contig6280.0,Contig6280.0,6280.0,OXYTRI_MAC_6280
Contig6281.0,Contig6281.0,6281.0,OXYTRI_MAC_6281
Contig6288.0,Contig6288.0,6288.0,OXYTRI_MAC_6288
Contig6289.0,Contig6289.0,6289.0,OXYTRI_MAC_6289
Contig5959.0,Contig5959.0,5959.0,OXYTRI_MAC_5959
Contig5958.0,Contig5958.0,5958.0,OXYTRI_MAC_5958
Contig5953.0,Contig5953.0,5953.0,OXYTRI_MAC_5953
Contig5951.0,Contig5951.0,5951.0,
Contig5950.0,Contig5950.0,5950.0,OXYTRI_MAC_5950
Contig5957.0,Contig5957.0,5957.0,OXYTRI_MAC_5957
Contig5956.0,Contig5956.0,5956.0,OXYTRI_MAC_5956
Contig5955.0.1,Contig5955.0.1,5955.0.1,OXYTRI_MAC_5955
Contig5954.0,Contig5954.0,5954.0,OXYTRI_MAC_5954
Contig7889.0,Contig7889.0,7889.0,OXYTRI_MAC_7889
Contig7888.0,Contig7888.0,7888.0,OXYTRI_MAC_7888
Contig7883.0,Contig7883.0,7883.0,OXYTRI_MAC_7883
Contig7881.0,Contig7881.0,7881.0,OXYTRI_MAC_7881
Contig7880.0,Contig7880.0,7880.0,OXYTRI_MAC_7880
Contig7887.0,Contig7887.0,7887.0,OXYTRI_MAC_7887
Contig7885.0,Contig7885.0,7885.0,OXYTRI_MAC_7885
Contig7884.0,Contig7884.0,7884.0,OXYTRI_MAC_7884
Contig6759.0,Contig6759.0,6759.0,OXYTRI_MAC_6759
Contig3508.0,Contig3508.0,3508.0,OXYTRI_MAC_3508
Contig3509.0,Contig3509.0,3509.0,
Contig3502.0,Contig3502.0,3502.0,OXYTRI_MAC_3502
Contig3503.0,Contig3503.0,3503.0,OXYTRI_MAC_3503
Contig3500.0.0,Contig3500.0.0,3500.0.0,
Contig3500.0.1,Contig3500.0.1,3500.0.1,OXYTRI_MAC_3500
Contig3501.0,Contig3501.0,3501.0,OXYTRI_MAC_3501
Contig3506.0,Contig3506.0,3506.0,OXYTRI_MAC_3506
Contig3507.0.0,Contig3507.0.0,3507.0.0,OXYTRI_MAC_3507
Contig3505.0.1,Contig3505.0.1,3505.0.1,OXYTRI_MAC_3505
Contig5489.0,Contig5489.0,5489.0,
Contig2459.0,Contig2459.0,2459.0,OXYTRI_MAC_2459
Contig2458.0,Contig2458.0,2458.0,OXYTRI_MAC_2458
Contig5485.0,Contig5485.0,5485.0,OXYTRI_MAC_5485
Contig2456.0,Contig2456.0,2456.0,OXYTRI_MAC_2456
Contig2455.0,Contig2455.0,2455.0,OXYTRI_MAC_2455
Contig2454.0,Contig2454.0,2454.0,OXYTRI_MAC_2454
Contig5481.0,Contig5481.0,5481.0,OXYTRI_MAC_5481
Contig2452.0,Contig2452.0,2452.0,OXYTRI_MAC_2452
Contig5483.0,Contig5483.0,5483.0,OXYTRI_MAC_5483
Contig2450.0,Contig2450.0,2450.0,OXYTRI_MAC_2450
Contig5229.0,Contig5229.0,5229.0,OXYTRI_MAC_5229
Contig5228.0.0,Contig5228.0.0,5228.0.0,
Contig5228.0.1,Contig5228.0.1,5228.0.1,
Contig5221.0,Contig5221.0,5221.0,OXYTRI_MAC_5221
Contig5220.0,Contig5220.0,5220.0,OXYTRI_MAC_3201
Contig5223.0,Contig5223.0,5223.0,OXYTRI_MAC_5223
Contig5222.0,Contig5222.0,5222.0,OXYTRI_MAC_5222
Contig5225.0,Contig5225.0,5225.0,OXYTRI_MAC_5225
Contig5224.0,Contig5224.0,5224.0,OXYTRI_MAC_5224
Contig5227.0,Contig5227.0,5227.0,OXYTRI_MAC_5227
Contig548.0.1,Contig548.0.1,548.0.1,OXYTRI_MAC_548
Contig549.0,Contig549.0,549.0,OXYTRI_MAC_549
Contig544.0,Contig544.0,544.0,OXYTRI_MAC_544
Contig545.0,Contig545.0,545.0,OXYTRI_MAC_24893
Contig546.0,Contig546.0,546.0,
Contig547.0,Contig547.0,547.0,OXYTRI_MAC_547
Contig540.0,Contig540.0,540.0,OXYTRI_MAC_540
Contig541.0,Contig541.0,541.0,OXYTRI_MAC_541
Contig542.0,Contig542.0,542.0,OXYTRI_MAC_542
Contig543.0,Contig543.0,543.0,OXYTRI_MAC_543
Contig11038.0,Contig11038.0,11038.0,OXYTRI_MAC_11038
Contig11039.0,Contig11039.0,11039.0,OXYTRI_MAC_11039
Contig11034.0,Contig11034.0,11034.0,OXYTRI_MAC_11034
Contig11035.0,Contig11035.0,11035.0,OXYTRI_MAC_11035
Contig11036.0,Contig11036.0,11036.0,OXYTRI_MAC_11036
Contig11037.0,Contig11037.0,11037.0,OXYTRI_MAC_11037
Contig11030.0,Contig11030.0,11030.0,OXYTRI_MAC_11030
Contig11031.0,Contig11031.0,11031.0,OXYTRI_MAC_11031
Contig11033.0,Contig11033.0,11033.0,OXYTRI_MAC_11033
Contig1838.0,Contig1838.0,1838.0,OXYTRI_MAC_1838
Contig1839.0,Contig1839.0,1839.0,OXYTRI_MAC_25494
Contig1830.0,Contig1830.0,1830.0,OXYTRI_MAC_25147
Contig1831.0,Contig1831.0,1831.0,OXYTRI_MAC_1831
Contig1832.0,Contig1832.0,1832.0,OXYTRI_MAC_1832
Contig1833.0,Contig1833.0,1833.0,OXYTRI_MAC_1833
Contig1834.0,Contig1834.0,1834.0,OXYTRI_MAC_1834
Contig1835.0,Contig1835.0,1835.0,OXYTRI_MAC_1835
Contig1836.0,Contig1836.0,1836.0,OXYTRI_MAC_1836
Contig20348.0,Contig20348.0,20348.0,OXYTRI_MAC_20348
Contig20349.0,Contig20349.0,20349.0,OXYTRI_MAC_20349
Contig20342.0.1,Contig20342.0.1,20342.0.1,OXYTRI_MAC_20342
Contig20343.0,Contig20343.0,20343.0,OXYTRI_MAC_20343
Contig20340.0,Contig20340.0,20340.0,OXYTRI_MAC_20340
Contig20341.0,Contig20341.0,20341.0,OXYTRI_MAC_20341
Contig20346.0,Contig20346.0,20346.0,OXYTRI_MAC_20346
Contig20347.0,Contig20347.0,20347.0,OXYTRI_MAC_20347
Contig20345.0,Contig20345.0,20345.0,OXYTRI_MAC_20345
Contig13304.0,Contig13304.0,13304.0,OXYTRI_MAC_13304
Contig13305.0,Contig13305.0,13305.0,OXYTRI_MAC_13305
Contig13306.0,Contig13306.0,13306.0,OXYTRI_MAC_13306
Contig13307.0.0,Contig13307.0.0,13307.0.0,OXYTRI_MAC_26557
Contig13307.0.1,Contig13307.0.1,13307.0.1,OXYTRI_MAC_13307
Contig13300.0,Contig13300.0,13300.0,OXYTRI_MAC_13300
Contig13301.0,Contig13301.0,13301.0,OXYTRI_MAC_13301
Contig13302.0,Contig13302.0,13302.0,OXYTRI_MAC_13302
Contig13303.0,Contig13303.0,13303.0,OXYTRI_MAC_13303
Contig13308.0,Contig13308.0,13308.0,OXYTRI_MAC_13308
Contig13309.0,Contig13309.0,13309.0,OXYTRI_MAC_13309
Contig16871.0,Contig16871.0,16871.0,OXYTRI_MAC_16871
Contig16870.0.0,Contig16870.0.0,16870.0.0,
Contig16870.0.1,Contig16870.0.1,16870.0.1,OXYTRI_MAC_16870
Contig16873.0,Contig16873.0,16873.0,OXYTRI_MAC_16873
Contig16872.0,Contig16872.0,16872.0,OXYTRI_MAC_16872
Contig16875.0,Contig16875.0,16875.0,OXYTRI_MAC_16875
Contig16874.0,Contig16874.0,16874.0,OXYTRI_MAC_16874
Contig16876.0,Contig16876.0,16876.0,OXYTRI_MAC_16876
Contig16879.0,Contig16879.0,16879.0,OXYTRI_MAC_16879
Contig16878.0,Contig16878.0,16878.0,OXYTRI_MAC_16878
Contig14659.0.1,Contig14659.0.1,14659.0.1,OXYTRI_MAC_14659
Contig14658.0,Contig14658.0,14658.0,OXYTRI_MAC_14658
Contig14653.0,Contig14653.0,14653.0,OXYTRI_MAC_14653
Contig14652.0,Contig14652.0,14652.0,OXYTRI_MAC_14652
Contig14650.0,Contig14650.0,14650.0,OXYTRI_MAC_14650
Contig14657.0,Contig14657.0,14657.0,OXYTRI_MAC_14657
