name,variant
Contig69.0,"Contig69.0,Contig69.0v1"
Contig69.0v1,"Contig69.0,Contig69.0v1"
Contig69.1i1,"Contig69.1i1,Contig69.1i1v1,Contig69.1"
Contig69.1i1v1,"Contig69.1i1,Contig69.1i1v1,Contig69.1"
Contig70.0,Contig70.0
Contig70.1,"Contig70.1,Contig70.1i1"
Contig70.1i1,"Contig70.1,Contig70.1i1"
Contig71.0,Contig71.0
Contig71.1,"Contig71.1,Contig71.1i1,Contig71.1i2"
Contig71.1i1,"Contig71.1,Contig71.1i1,Contig71.1i2"
Contig71.1i2,"Contig71.1,Contig71.1i1,Contig71.1i2"
Contig72.0,"Contig72.0,Contig72.0v1"
Contig72.0v1,"Contig72.0,Contig72.0v1"
Contig72.1,"Contig72.1,Contig72.1v1"
Contig72.1v1,"Contig72.1,Contig72.1v1"
Contig73.0,"Contig73.0,Contig73.0v1"
Contig73.0v1,"Contig73.0,Contig73.0v1"
Contig73.1,"Contig73.1,Contig73.1i1,Contig73.1i1v1"
Contig73.1i1,"Contig73.1,Contig73.1i1,Contig73.1i1v1"
Contig73.1i1v1,"Contig73.1,Contig73.1i1,Contig73.1i1v1"
Contig74.0,"Contig74.0,Contig74.0v2"
Contig74.0v2,"Contig74.0,Contig74.0v2"
Contig74.1,"Contig74.1,Contig74.1i1"
Contig74.1i1,"Contig74.1,Contig74.1i1"
Contig75.0,Contig75.0
Contig75.1,"Contig75.1,Contig75.1i1,Contig75.1i2"
Contig75.1i1,"Contig75.1,Contig75.1i1,Contig75.1i2"
Contig75.1i2,"Contig75.1,Contig75.1i1,Contig75.1i2"
Contig76.0,Contig76.0
Contig76.1,"Contig76.1,Contig76.1v1"
Contig76.1v1,"Contig76.1,Contig76.1v1"
Contig77.0,"Contig77.0,Contig77.0i1,Contig77.0i2"
Contig77.0i1,"Contig77.0,Contig77.0i1,Contig77.0i2"
Contig77.0i2,"Contig77.0,Contig77.0i1,Contig77.0i2"
Contig77.1,"Contig77.1,Contig77.1v1"
Contig77.1v1,"Contig77.1,Contig77.1v1"
Contig78.0,Contig78.0
Contig79.0,"Contig79.0,Contig79.0v1"
Contig79.0v1,"Contig79.0,Contig79.0v1"
Contig79.1,"Contig79.1,Contig79.1v1,Contig79.1v2"
Contig79.1v1,"Contig79.1,Contig79.1v1,Contig79.1v2"
Contig79.1v2,"Contig79.1,Contig79.1v1,Contig79.1v2"
Contig80.0.1,"Contig80.0.1,Contig80.0.1i1"
Contig80.0.1i1,"Contig80.0.1,Contig80.0.1i1"
Contig80.1,"Contig80.1,Contig80.1v1"
Contig80.1v1,"Contig80.1,Contig80.1v1"
Contig81.1,"Contig81.1,Contig81.1v1"
Contig81.1v1,"Contig81.1,Contig81.1v1"
Contig82.0,"Contig82.0,Contig82.0v1"
Contig82.0v1,"Contig82.0,Contig82.0v1"
Contig82.1,Contig82.1
Contig83.1,Contig83.1
Contig84.0,Contig84.0
Contig84.1,"Contig84.1,Contig84.1i1,Contig84.1i1v1,Contig84.1i2"
Contig84.1i1,"Contig84.1,Contig84.1i1,Contig84.1i1v1,Contig84.1i2"
Contig84.1i1v1,"Contig84.1,Contig84.1i1,Contig84.1i1v1,Contig84.1i2"
Contig84.1i2,"Contig84.1,Contig84.1i1,Contig84.1i1v1,Contig84.1i2"
Contig85.0,Contig85.0
Contig85.1,"Contig85.1,Contig85.1i1,Contig85.1i1v2,Contig85.1i1v3,Contig85.1i2"
Contig85.1i1,"Contig85.1,Contig85.1i1,Contig85.1i1v2,Contig85.1i1v3,Contig85.1i2"
Contig85.1i1v2,"Contig85.1,Contig85.1i1,Contig85.1i1v2,Contig85.1i1v3,Contig85.1i2"
Contig85.1i1v3,"Contig85.1,Contig85.1i1,Contig85.1i1v2,Contig85.1i1v3,Contig85.1i2"
Contig85.1i2,"Contig85.1,Contig85.1i1,Contig85.1i1v2,Contig85.1i1v3,Contig85.1i2"
Contig87.0,Contig87.0
Contig87.1,"Contig87.1,Contig87.1v1"
Contig87.1v1,"Contig87.1,Contig87.1v1"
Contig88.0,Contig88.0
Contig88.1,"Contig88.1,Contig88.1v1"
Contig88.1v1,"Contig88.1,Contig88.1v1"
Contig89.1,"Contig89.1,Contig89.1i1,Contig89.1i2"
Contig89.1i1,"Contig89.1,Contig89.1i1,Contig89.1i2"
Contig89.1i2,"Contig89.1,Contig89.1i1,Contig89.1i2"
Contig90.1,"Contig90.1,Contig90.1i1"
Contig90.1i1,"Contig90.1,Contig90.1i1"
Contig91.0,Contig91.0
Contig92.0.1,"Contig92.0.1,Contig92.0.1v1"
Contig92.0.1v1,"Contig92.0.1,Contig92.0.1v1"
Contig92.1,Contig92.1
Contig93.0,"Contig93.0,Contig93.0i1,Contig93.0i1v1"
Contig93.0i1,"Contig93.0,Contig93.0i1,Contig93.0i1v1"
Contig93.0i1v1,"Contig93.0,Contig93.0i1,Contig93.0i1v1"
Contig93.1,"Contig93.1,Contig93.1v1,Contig93.1i1"
Contig93.1v1,"Contig93.1,Contig93.1v1,Contig93.1i1"
Contig93.1i1,"Contig93.1,Contig93.1v1,Contig93.1i1"
Contig94.0,Contig94.0
Contig94.1,"Contig94.1,Contig94.1v1,Contig94.1v2"
Contig94.1v1,"Contig94.1,Contig94.1v1,Contig94.1v2"
Contig94.1v2,"Contig94.1,Contig94.1v1,Contig94.1v2"
Contig96.0,"Contig96.0,Contig96.0i1"
Contig96.0i1,"Contig96.0,Contig96.0i1"
Contig96.1i1,"Contig96.1i1,Contig96.1i1v1,Contig96.1"
Contig96.1i1v1,"Contig96.1i1,Contig96.1i1v1,Contig96.1"
Contig97.0,"Contig97.0,Contig97.0i1"
Contig97.0i1,"Contig97.0,Contig97.0i1"
Contig97.1,"Contig97.1,Contig97.1v1"
Contig97.1v1,"Contig97.1,Contig97.1v1"
Contig98.0.0,"Contig98.0.0,Contig98.0.0v1,Contig98.0.0i1,Contig98.0.0i1v1"
Contig98.0.0v1,"Contig98.0.0,Contig98.0.0v1,Contig98.0.0i1,Contig98.0.0i1v1"
Contig98.0.0i1,"Contig98.0.0,Contig98.0.0v1,Contig98.0.0i1,Contig98.0.0i1v1"
Contig98.0.0i1v1,"Contig98.0.0,Contig98.0.0v1,Contig98.0.0i1,Contig98.0.0i1v1"
Contig98.0.1,Contig98.0.1
Contig98.1,Contig98.1
Contig99.0,"Contig99.0,Contig99.0v1,Contig99.0i1"
