primary,oxydb_mac_gene_2020
g31854,g31854
g11719,g11719
g33960,g33960
g33961,g33961
g33962,g33962
g41880,g41880
g31380,g31380
g31381,g31381
g31382,g31382
g31383,g31383
g31384,g31384
g1957,g1957
g1958,g1958
g1959,g1959
g1965,g1965
g1966,g1966
g1967,g1967
g41693,g41693
g16355,g16355
g31049,g31049
g2077,g2077
g2103,g2103
g7363,g7363
g30018,g30018
g20022,g20022
g47571,g47571
g47572,g47572
g35620,g35620
g17742,g17742
g48126,g48126
g39466,g39466
g19407,g19407
g8511,g8511
g8512,g8512
g8551,g8551
g8531,g8531
g46132,g46132
g46133,g46133
g35204,g35204
g10758,g10758
g35200,g35200
g35201,g35201
g27250,g27250
g27251,g27251
g27258,g27258
g27428,g27428
g21237,g21237
g45244,g45244
g16543,g16543
g5951,g5951
g39996,g39996
g44801,g44801
g24886,g24886
g774,g774
g779,g779
g6156,g6156
g40396,g40396
g991,g991
g18561,g18561
g981,g981
g46760,g46760
g35574,g35574
g9266,g9266
g9267,g9267
g25900,g25900
g48197,g48197
g37710,g37710
g29105,g29105
g29102,g29102
g29112,g29112
g25203,g25203
g27809,g27809
g27810,g27810
g16593,g16593
g16594,g16594
g27816,g27816
g33722,g33722
g33723,g33723
g11193,g11193
g11194,g11194
g28826,g28826
g28827,g28827
g28828,g28828
g32762,g32762
g32763,g32763
g37850,g37850
g10537,g10537
g16470,g16470
g9929,g9929
g42369,g42369
g32890,g32890
g46349,g46349
g46350,g46350
g14434,g14434
g14435,g14435
g38322,g38322
g41,g41
g35421,g35421
g15702,g15702
g35422,g35422
g35441,g35441
g35431,g35431
g45011,g45011
g12857,g12857
g6680,g6680
g6681,g6681
g15020,g15020
g15021,g15021
g38149,g38149
g29760,g29760
g9908,g9908
g46279,g46279
g46280,g46280
g35544,g35544
g41303,g41303
g9822,g9822
g10017,g10017
g10018,g10018
g2163,g2163
g2164,g2164
g2173,g2173
g2183,g2183
g45618,g45618
g45978,g45978
g8044,g8044
g9212,g9212
g15553,g15553
g29057,g29057
g15720,g15720
g2940,g2940
g30413,g30413
g17626,g17626
g1808,g1808
g1809,g1809
g37927,g37927
g41847,g41847
g28274,g28274
g21619,g21619
g17952,g17952
g32586,g32586
g32587,g32587
g32588,g32588
g15717,g15717
g28403,g28403
g35109,g35109
g42802,g42802
g20151,g20151
g37509,g37509
g42423,g42423
g4381,g4381
g9675,g9675
g9667,g9667
g39979,g39979
g34720,g34720
g34721,g34721
g41085,g41085
g41086,g41086
g43586,g43586
g26366,g26366
g30703,g30703
g39603,g39603
g21743,g21743
g14675,g14675
g14676,g14676
g22967,g22967
g22968,g22968
g45412,g45412
g45413,g45413
g28611,g28611
g5856,g5856
g5581,g5581
g13744,g13744
g47635,g47635
g47636,g47636
g40640,g40640
g20309,g20309
g3119,g3119
g45195,g45195
g13328,g13328
g31597,g31597
g9807,g9807
g9808,g9808
g8743,g8743
g8744,g8744
g8740,g8740
g5614,g5614
g25378,g25378
g273,g273
g274,g274
g47083,g47083
g25530,g25530
g13768,g13768
g35241,g35241
g35329,g35329
g35330,g35330
g35334,g35334
g35333,g35333
g40809,g40809
g17632,g17632
g14773,g14773
g11173,g11173
g11174,g11174
