primary,oxydb_mic_2014,mds_ies_db_2015,genbank,genbank.1,number
OXYTRI_MIC_67206,ctg7180000067206,OXYTRI_MIC_67206,ARYC01000075,ARYC01000075.1,67206
OXYTRI_MIC_67207,ctg7180000067207,OXYTRI_MIC_67207,ARYC01000076,ARYC01000076.1,67207
OXYTRI_MIC_67209,ctg7180000067209,OXYTRI_MIC_67209,ARYC01000077,ARYC01000077.1,67209
OXYTRI_MIC_67210,ctg7180000067210,OXYTRI_MIC_67210,ARYC01000078,ARYC01000078.1,67210
OXYTRI_MIC_67211,ctg7180000067211,OXYTRI_MIC_67211,ARYC01000079,ARYC01000079.1,67211
OXYTRI_MIC_67212,ctg7180000067212,OXYTRI_MIC_67212,ARYC01000080,ARYC01000080.1,67212
OXYTRI_MIC_67213,ctg7180000067213,OXYTRI_MIC_67213,ARYC01000081,ARYC01000081.1,67213
OXYTRI_MIC_67215,ctg7180000067215,OXYTRI_MIC_67215,ARYC01000082,ARYC01000082.1,67215
OXYTRI_MIC_67216,ctg7180000067216,OXYTRI_MIC_67216,ARYC01000083,ARYC01000083.1,67216
OXYTRI_MIC_67217,ctg7180000067217,OXYTRI_MIC_67217,ARYC01000084,ARYC01000084.1,67217
OXYTRI_MIC_67221,ctg7180000067221,OXYTRI_MIC_67221,ARYC01000085,ARYC01000085.1,67221
OXYTRI_MIC_67222,ctg7180000067222,OXYTRI_MIC_67222,ARYC01000086,ARYC01000086.1,67222
OXYTRI_MIC_67223,ctg7180000067223,OXYTRI_MIC_67223,ARYC01000087,ARYC01000087.1,67223
OXYTRI_MIC_67224,ctg7180000067224,OXYTRI_MIC_67224,ARYC01000088,ARYC01000088.1,67224
OXYTRI_MIC_67225,ctg7180000067225,OXYTRI_MIC_67225,ARYC01000089,ARYC01000089.1,67225
OXYTRI_MIC_67226,ctg7180000067226,OXYTRI_MIC_67226,ARYC01000090,ARYC01000090.1,67226
OXYTRI_MIC_67227,ctg7180000067227,OXYTRI_MIC_67227,ARYC01000091,ARYC01000091.1,67227
OXYTRI_MIC_67228,ctg7180000067228,OXYTRI_MIC_67228,ARYC01000092,ARYC01000092.1,67228
OXYTRI_MIC_67231,ctg7180000067231,OXYTRI_MIC_67231,ARYC01000093,ARYC01000093.1,67231
OXYTRI_MIC_67232,ctg7180000067232,OXYTRI_MIC_67232,ARYC01000094,ARYC01000094.1,67232
OXYTRI_MIC_67233,ctg7180000067233,OXYTRI_MIC_67233,ARYC01000095,ARYC01000095.1,67233
OXYTRI_MIC_67234,ctg7180000067234,OXYTRI_MIC_67234,ARYC01000096,ARYC01000096.1,67234
OXYTRI_MIC_67235,ctg7180000067235,OXYTRI_MIC_67235,ARYC01000097,ARYC01000097.1,67235
OXYTRI_MIC_67236,ctg7180000067236,OXYTRI_MIC_67236,ARYC01000098,ARYC01000098.1,67236
OXYTRI_MIC_67237,ctg7180000067237,OXYTRI_MIC_67237,ARYC01000099,ARYC01000099.1,67237
OXYTRI_MIC_67238,ctg7180000067238,OXYTRI_MIC_67238,ARYC01000100,ARYC01000100.1,67238
OXYTRI_MIC_67239,ctg7180000067239,OXYTRI_MIC_67239,ARYC01000101,ARYC01000101.1,67239
OXYTRI_MIC_67240,ctg7180000067240,OXYTRI_MIC_67240,ARYC01000102,ARYC01000102.1,67240
OXYTRI_MIC_67241,ctg7180000067241,OXYTRI_MIC_67241,ARYC01000103,ARYC01000103.1,67241
OXYTRI_MIC_67242,ctg7180000067242,OXYTRI_MIC_67242,ARYC01000104,ARYC01000104.1,67242
OXYTRI_MIC_67243,ctg7180000067243,OXYTRI_MIC_67243,ARYC01000105,ARYC01000105.1,67243
OXYTRI_MIC_67244,ctg7180000067244,OXYTRI_MIC_67244,ARYC01000106,ARYC01000106.1,67244
OXYTRI_MIC_67245,ctg7180000067245,OXYTRI_MIC_67245,ARYC01000107,ARYC01000107.1,67245
OXYTRI_MIC_67247,ctg7180000067247,OXYTRI_MIC_67247,ARYC01000108,ARYC01000108.1,67247
OXYTRI_MIC_67248,ctg7180000067248,OXYTRI_MIC_67248,ARYC01000109,ARYC01000109.1,67248
OXYTRI_MIC_67249,ctg7180000067249,OXYTRI_MIC_67249,ARYC01000110,ARYC01000110.1,67249
OXYTRI_MIC_67250,ctg7180000067250,OXYTRI_MIC_67250,ARYC01000111,ARYC01000111.1,67250
OXYTRI_MIC_67251,ctg7180000067251,OXYTRI_MIC_67251,ARYC01000112,ARYC01000112.1,67251
OXYTRI_MIC_67252,ctg7180000067252,OXYTRI_MIC_67252,ARYC01000113,ARYC01000113.1,67252
OXYTRI_MIC_67253,ctg7180000067253,OXYTRI_MIC_67253,ARYC01000114,ARYC01000114.1,67253
OXYTRI_MIC_67254,ctg7180000067254,OXYTRI_MIC_67254,ARYC01000115,ARYC01000115.1,67254
OXYTRI_MIC_67255,ctg7180000067255,OXYTRI_MIC_67255,ARYC01000116,ARYC01000116.1,67255
OXYTRI_MIC_67256,ctg7180000067256,OXYTRI_MIC_67256,ARYC01000117,ARYC01000117.1,67256
OXYTRI_MIC_67257,ctg7180000067257,OXYTRI_MIC_67257,ARYC01000118,ARYC01000118.1,67257
OXYTRI_MIC_67258,ctg7180000067258,OXYTRI_MIC_67258,ARYC01000119,ARYC01000119.1,67258
OXYTRI_MIC_67259,ctg7180000067259,OXYTRI_MIC_67259,ARYC01000120,ARYC01000120.1,67259
OXYTRI_MIC_67260,ctg7180000067260,OXYTRI_MIC_67260,ARYC01000121,ARYC01000121.1,67260
OXYTRI_MIC_67261,ctg7180000067261,OXYTRI_MIC_67261,ARYC01000122,ARYC01000122.1,67261
OXYTRI_MIC_67262,ctg7180000067262,OXYTRI_MIC_67262,ARYC01000123,ARYC01000123.1,67262
OXYTRI_MIC_67263,ctg7180000067263,OXYTRI_MIC_67263,ARYC01000124,ARYC01000124.1,67263
OXYTRI_MIC_67264,ctg7180000067264,OXYTRI_MIC_67264,ARYC01000125,ARYC01000125.1,67264
OXYTRI_MIC_67265,ctg7180000067265,OXYTRI_MIC_67265,ARYC01000126,ARYC01000126.1,67265
OXYTRI_MIC_67266,ctg7180000067266,OXYTRI_MIC_67266,ARYC01000127,ARYC01000127.1,67266
OXYTRI_MIC_67267,ctg7180000067267,OXYTRI_MIC_67267,ARYC01000128,ARYC01000128.1,67267
OXYTRI_MIC_67268,ctg7180000067268,OXYTRI_MIC_67268,ARYC01000129,ARYC01000129.1,67268
OXYTRI_MIC_67269,ctg7180000067269,OXYTRI_MIC_67269,ARYC01000130,ARYC01000130.1,67269
OXYTRI_MIC_67270,ctg7180000067270,OXYTRI_MIC_67270,ARYC01000131,ARYC01000131.1,67270
OXYTRI_MIC_67271,ctg7180000067271,OXYTRI_MIC_67271,ARYC01000132,ARYC01000132.1,67271
OXYTRI_MIC_67272,ctg7180000067272,OXYTRI_MIC_67272,ARYC01000133,ARYC01000133.1,67272
OXYTRI_MIC_67274,ctg7180000067274,OXYTRI_MIC_67274,ARYC01000134,ARYC01000134.1,67274
OXYTRI_MIC_67275,ctg7180000067275,OXYTRI_MIC_67275,ARYC01000135,ARYC01000135.1,67275
OXYTRI_MIC_67276,ctg7180000067276,OXYTRI_MIC_67276,ARYC01000136,ARYC01000136.1,67276
OXYTRI_MIC_67277,ctg7180000067277,OXYTRI_MIC_67277,ARYC01000137,ARYC01000137.1,67277
