primary,oxydb_mic_2014,mds_ies_db_2015,genbank,genbank.1,number
OXYTRI_MIC_82370,ctg7180000082370,OXYTRI_MIC_82370,ARYC01013135,ARYC01013135.1,82370
OXYTRI_MIC_82371,ctg7180000082371,OXYTRI_MIC_82371,ARYC01013136,ARYC01013136.1,82371
OXYTRI_MIC_82372,ctg7180000082372,OXYTRI_MIC_82372,ARYC01013137,ARYC01013137.1,82372
OXYTRI_MIC_82373,ctg7180000082373,OXYTRI_MIC_82373,ARYC01013138,ARYC01013138.1,82373
OXYTRI_MIC_82374,ctg7180000082374,OXYTRI_MIC_82374,ARYC01013139,ARYC01013139.1,82374
OXYTRI_MIC_82375,ctg7180000082375,OXYTRI_MIC_82375,ARYC01013140,ARYC01013140.1,82375
OXYTRI_MIC_82376,ctg7180000082376,OXYTRI_MIC_82376,ARYC01013141,ARYC01013141.1,82376
OXYTRI_MIC_82379,ctg7180000082379,OXYTRI_MIC_82379,ARYC01013142,ARYC01013142.1,82379
OXYTRI_MIC_82383,ctg7180000082383,OXYTRI_MIC_82383,ARYC01013143,ARYC01013143.1,82383
OXYTRI_MIC_82384,ctg7180000082384,OXYTRI_MIC_82384,ARYC01013144,ARYC01013144.1,82384
OXYTRI_MIC_82385,ctg7180000082385,OXYTRI_MIC_82385,ARYC01013145,ARYC01013145.1,82385
OXYTRI_MIC_82387,ctg7180000082387,OXYTRI_MIC_82387,ARYC01013146,ARYC01013146.1,82387
OXYTRI_MIC_82388,ctg7180000082388,OXYTRI_MIC_82388,ARYC01013147,ARYC01013147.1,82388
OXYTRI_MIC_82389,ctg7180000082389,OXYTRI_MIC_82389,ARYC01013148,ARYC01013148.1,82389
OXYTRI_MIC_82390,ctg7180000082390,OXYTRI_MIC_82390,ARYC01013149,ARYC01013149.1,82390
OXYTRI_MIC_82391,ctg7180000082391,OXYTRI_MIC_82391,ARYC01013150,ARYC01013150.1,82391
OXYTRI_MIC_82392,ctg7180000082392,OXYTRI_MIC_82392,ARYC01013151,ARYC01013151.1,82392
OXYTRI_MIC_82393,ctg7180000082393,OXYTRI_MIC_82393,ARYC01013152,ARYC01013152.1,82393
OXYTRI_MIC_82394,ctg7180000082394,OXYTRI_MIC_82394,ARYC01013153,ARYC01013153.1,82394
OXYTRI_MIC_82395,ctg7180000082395,OXYTRI_MIC_82395,ARYC01013154,ARYC01013154.1,82395
OXYTRI_MIC_82396,ctg7180000082396,OXYTRI_MIC_82396,ARYC01013155,ARYC01013155.1,82396
OXYTRI_MIC_82397,ctg7180000082397,OXYTRI_MIC_82397,ARYC01013156,ARYC01013156.1,82397
OXYTRI_MIC_82398,ctg7180000082398,OXYTRI_MIC_82398,ARYC01013157,ARYC01013157.1,82398
OXYTRI_MIC_82399,ctg7180000082399,OXYTRI_MIC_82399,ARYC01013158,ARYC01013158.1,82399
OXYTRI_MIC_82400,ctg7180000082400,OXYTRI_MIC_82400,ARYC01013159,ARYC01013159.1,82400
OXYTRI_MIC_82401,ctg7180000082401,OXYTRI_MIC_82401,ARYC01013160,ARYC01013160.1,82401
OXYTRI_MIC_82402,ctg7180000082402,OXYTRI_MIC_82402,ARYC01013161,ARYC01013161.1,82402
OXYTRI_MIC_82403,ctg7180000082403,OXYTRI_MIC_82403,ARYC01013162,ARYC01013162.1,82403
OXYTRI_MIC_82404,ctg7180000082404,OXYTRI_MIC_82404,ARYC01013163,ARYC01013163.1,82404
OXYTRI_MIC_82405,ctg7180000082405,OXYTRI_MIC_82405,ARYC01013164,ARYC01013164.1,82405
OXYTRI_MIC_82406,ctg7180000082406,OXYTRI_MIC_82406,ARYC01013165,ARYC01013165.1,82406
OXYTRI_MIC_82407,ctg7180000082407,OXYTRI_MIC_82407,ARYC01013166,ARYC01013166.1,82407
OXYTRI_MIC_82408,ctg7180000082408,OXYTRI_MIC_82408,ARYC01013167,ARYC01013167.1,82408
OXYTRI_MIC_82409,ctg7180000082409,OXYTRI_MIC_82409,ARYC01013168,ARYC01013168.1,82409
OXYTRI_MIC_82410,ctg7180000082410,OXYTRI_MIC_82410,ARYC01013169,ARYC01013169.1,82410
OXYTRI_MIC_82411,ctg7180000082411,OXYTRI_MIC_82411,ARYC01013170,ARYC01013170.1,82411
OXYTRI_MIC_82412,ctg7180000082412,OXYTRI_MIC_82412,ARYC01013171,ARYC01013171.1,82412
OXYTRI_MIC_82413,ctg7180000082413,OXYTRI_MIC_82413,ARYC01013172,ARYC01013172.1,82413
OXYTRI_MIC_82418,ctg7180000082418,OXYTRI_MIC_82418,ARYC01013173,ARYC01013173.1,82418
OXYTRI_MIC_82421,ctg7180000082421,OXYTRI_MIC_82421,ARYC01013174,ARYC01013174.1,82421
OXYTRI_MIC_82422,ctg7180000082422,OXYTRI_MIC_82422,ARYC01013175,ARYC01013175.1,82422
OXYTRI_MIC_82425,ctg7180000082425,OXYTRI_MIC_82425,ARYC01013176,ARYC01013176.1,82425
OXYTRI_MIC_82427,ctg7180000082427,OXYTRI_MIC_82427,ARYC01013177,ARYC01013177.1,82427
OXYTRI_MIC_82428,ctg7180000082428,OXYTRI_MIC_82428,ARYC01013178,ARYC01013178.1,82428
OXYTRI_MIC_82429,ctg7180000082429,OXYTRI_MIC_82429,ARYC01013179,ARYC01013179.1,82429
OXYTRI_MIC_82431,ctg7180000082431,OXYTRI_MIC_82431,ARYC01013180,ARYC01013180.1,82431
OXYTRI_MIC_82432,ctg7180000082432,OXYTRI_MIC_82432,ARYC01013181,ARYC01013181.1,82432
OXYTRI_MIC_82434,ctg7180000082434,OXYTRI_MIC_82434,ARYC01013182,ARYC01013182.1,82434
OXYTRI_MIC_82436,ctg7180000082436,OXYTRI_MIC_82436,ARYC01013183,ARYC01013183.1,82436
OXYTRI_MIC_82437,ctg7180000082437,OXYTRI_MIC_82437,ARYC01013184,ARYC01013184.1,82437
OXYTRI_MIC_82439,ctg7180000082439,OXYTRI_MIC_82439,ARYC01013185,ARYC01013185.1,82439
OXYTRI_MIC_82442,ctg7180000082442,OXYTRI_MIC_82442,ARYC01013186,ARYC01013186.1,82442
OXYTRI_MIC_82445,ctg7180000082445,OXYTRI_MIC_82445,ARYC01013187,ARYC01013187.1,82445
OXYTRI_MIC_82446,ctg7180000082446,OXYTRI_MIC_82446,ARYC01013188,ARYC01013188.1,82446
OXYTRI_MIC_82447,ctg7180000082447,OXYTRI_MIC_82447,ARYC01013189,ARYC01013189.1,82447
OXYTRI_MIC_82449,ctg7180000082449,OXYTRI_MIC_82449,ARYC01013190,ARYC01013190.1,82449
OXYTRI_MIC_82452,ctg7180000082452,OXYTRI_MIC_82452,ARYC01013191,ARYC01013191.1,82452
OXYTRI_MIC_82453,ctg7180000082453,OXYTRI_MIC_82453,ARYC01013192,ARYC01013192.1,82453
OXYTRI_MIC_82457,ctg7180000082457,OXYTRI_MIC_82457,ARYC01013193,ARYC01013193.1,82457
OXYTRI_MIC_82459,ctg7180000082459,OXYTRI_MIC_82459,ARYC01013194,ARYC01013194.1,82459
OXYTRI_MIC_82460,ctg7180000082460,OXYTRI_MIC_82460,ARYC01013195,ARYC01013195.1,82460
OXYTRI_MIC_82461,ctg7180000082461,OXYTRI_MIC_82461,ARYC01013196,ARYC01013196.1,82461
OXYTRI_MIC_82463,ctg7180000082463,OXYTRI_MIC_82463,ARYC01013197,ARYC01013197.1,82463
OXYTRI_MIC_82464,ctg7180000082464,OXYTRI_MIC_82464,ARYC01013198,ARYC01013198.1,82464
OXYTRI_MIC_82466,ctg7180000082466,OXYTRI_MIC_82466,ARYC01013199,ARYC01013199.1,82466
OXYTRI_MIC_82467,ctg7180000082467,OXYTRI_MIC_82467,ARYC01013200,ARYC01013200.1,82467
OXYTRI_MIC_82468,ctg7180000082468,OXYTRI_MIC_82468,ARYC01013201,ARYC01013201.1,82468
OXYTRI_MIC_82470,ctg7180000082470,OXYTRI_MIC_82470,ARYC01013202,ARYC01013202.1,82470
OXYTRI_MIC_82471,ctg7180000082471,OXYTRI_MIC_82471,ARYC01013203,ARYC01013203.1,82471
OXYTRI_MIC_82473,ctg7180000082473,OXYTRI_MIC_82473,ARYC01013204,ARYC01013204.1,82473
OXYTRI_MIC_82474,ctg7180000082474,OXYTRI_MIC_82474,ARYC01013205,ARYC01013205.1,82474
OXYTRI_MIC_82476,ctg7180000082476,OXYTRI_MIC_82476,ARYC01013206,ARYC01013206.1,82476
OXYTRI_MIC_82477,ctg7180000082477,OXYTRI_MIC_82477,ARYC01013207,ARYC01013207.1,82477
OXYTRI_MIC_82478,ctg7180000082478,OXYTRI_MIC_82478,ARYC01013208,ARYC01013208.1,82478
OXYTRI_MIC_82479,ctg7180000082479,OXYTRI_MIC_82479,ARYC01013209,ARYC01013209.1,82479
OXYTRI_MIC_82480,ctg7180000082480,OXYTRI_MIC_82480,ARYC01013210,ARYC01013210.1,82480
OXYTRI_MIC_82484,ctg7180000082484,OXYTRI_MIC_82484,ARYC01013211,ARYC01013211.1,82484
OXYTRI_MIC_82485,ctg7180000082485,OXYTRI_MIC_82485,ARYC01013212,ARYC01013212.1,82485
OXYTRI_MIC_82487,ctg7180000082487,OXYTRI_MIC_82487,ARYC01013213,ARYC01013213.1,82487
OXYTRI_MIC_82489,ctg7180000082489,OXYTRI_MIC_82489,ARYC01013214,ARYC01013214.1,82489
OXYTRI_MIC_82491,ctg7180000082491,OXYTRI_MIC_82491,ARYC01013215,ARYC01013215.1,82491
OXYTRI_MIC_82492,ctg7180000082492,OXYTRI_MIC_82492,ARYC01013216,ARYC01013216.1,82492
OXYTRI_MIC_82493,ctg7180000082493,OXYTRI_MIC_82493,ARYC01013217,ARYC01013217.1,82493
OXYTRI_MIC_82494,ctg7180000082494,OXYTRI_MIC_82494,ARYC01013218,ARYC01013218.1,82494
OXYTRI_MIC_82495,ctg7180000082495,OXYTRI_MIC_82495,ARYC01013219,ARYC01013219.1,82495
OXYTRI_MIC_82497,ctg7180000082497,OXYTRI_MIC_82497,ARYC01013220,ARYC01013220.1,82497
OXYTRI_MIC_82498,ctg7180000082498,OXYTRI_MIC_82498,ARYC01013221,ARYC01013221.1,82498
OXYTRI_MIC_82500,ctg7180000082500,OXYTRI_MIC_82500,ARYC01013222,ARYC01013222.1,82500
OXYTRI_MIC_82502,ctg7180000082502,OXYTRI_MIC_82502,ARYC01013223,ARYC01013223.1,82502
OXYTRI_MIC_82503,ctg7180000082503,OXYTRI_MIC_82503,ARYC01013224,ARYC01013224.1,82503
OXYTRI_MIC_82507,ctg7180000082507,OXYTRI_MIC_82507,ARYC01013225,ARYC01013225.1,82507
OXYTRI_MIC_82508,ctg7180000082508,OXYTRI_MIC_82508,ARYC01013226,ARYC01013226.1,82508
OXYTRI_MIC_82512,ctg7180000082512,OXYTRI_MIC_82512,ARYC01013227,ARYC01013227.1,82512
OXYTRI_MIC_82513,ctg7180000082513,OXYTRI_MIC_82513,ARYC01013228,ARYC01013228.1,82513
OXYTRI_MIC_82515,ctg7180000082515,OXYTRI_MIC_82515,ARYC01013229,ARYC01013229.1,82515
OXYTRI_MIC_82517,ctg7180000082517,OXYTRI_MIC_82517,ARYC01013230,ARYC01013230.1,82517
OXYTRI_MIC_82518,ctg7180000082518,OXYTRI_MIC_82518,ARYC01013231,ARYC01013231.1,82518
OXYTRI_MIC_82520,ctg7180000082520,OXYTRI_MIC_82520,ARYC01013232,ARYC01013232.1,82520
OXYTRI_MIC_82523,ctg7180000082523,OXYTRI_MIC_82523,ARYC01013233,ARYC01013233.1,82523
OXYTRI_MIC_82524,ctg7180000082524,OXYTRI_MIC_82524,ARYC01013234,ARYC01013234.1,82524
OXYTRI_MIC_82525,ctg7180000082525,OXYTRI_MIC_82525,ARYC01013235,ARYC01013235.1,82525
OXYTRI_MIC_82527,ctg7180000082527,OXYTRI_MIC_82527,ARYC01013236,ARYC01013236.1,82527
OXYTRI_MIC_82528,ctg7180000082528,OXYTRI_MIC_82528,ARYC01013237,ARYC01013237.1,82528
OXYTRI_MIC_82529,ctg7180000082529,OXYTRI_MIC_82529,ARYC01013238,ARYC01013238.1,82529
OXYTRI_MIC_82530,ctg7180000082530,OXYTRI_MIC_82530,ARYC01013239,ARYC01013239.1,82530
OXYTRI_MIC_82532,ctg7180000082532,OXYTRI_MIC_82532,ARYC01013240,ARYC01013240.1,82532
OXYTRI_MIC_82533,ctg7180000082533,OXYTRI_MIC_82533,ARYC01013241,ARYC01013241.1,82533
OXYTRI_MIC_82534,ctg7180000082534,OXYTRI_MIC_82534,ARYC01013242,ARYC01013242.1,82534
OXYTRI_MIC_82535,ctg7180000082535,OXYTRI_MIC_82535,ARYC01013243,ARYC01013243.1,82535
OXYTRI_MIC_82536,ctg7180000082536,OXYTRI_MIC_82536,ARYC01013244,ARYC01013244.1,82536
OXYTRI_MIC_82537,ctg7180000082537,OXYTRI_MIC_82537,ARYC01013245,ARYC01013245.1,82537
OXYTRI_MIC_82538,ctg7180000082538,OXYTRI_MIC_82538,ARYC01013246,ARYC01013246.1,82538
OXYTRI_MIC_82539,ctg7180000082539,OXYTRI_MIC_82539,ARYC01013247,ARYC01013247.1,82539
OXYTRI_MIC_82540,ctg7180000082540,OXYTRI_MIC_82540,ARYC01013248,ARYC01013248.1,82540
OXYTRI_MIC_82541,ctg7180000082541,OXYTRI_MIC_82541,ARYC01013249,ARYC01013249.1,82541
OXYTRI_MIC_82542,ctg7180000082542,OXYTRI_MIC_82542,ARYC01013250,ARYC01013250.1,82542
OXYTRI_MIC_82543,ctg7180000082543,OXYTRI_MIC_82543,ARYC01013251,ARYC01013251.1,82543
OXYTRI_MIC_82544,ctg7180000082544,OXYTRI_MIC_82544,ARYC01013252,ARYC01013252.1,82544
OXYTRI_MIC_82545,ctg7180000082545,OXYTRI_MIC_82545,ARYC01013253,ARYC01013253.1,82545
OXYTRI_MIC_82546,ctg7180000082546,OXYTRI_MIC_82546,ARYC01013254,ARYC01013254.1,82546
OXYTRI_MIC_82547,ctg7180000082547,OXYTRI_MIC_82547,ARYC01013255,ARYC01013255.1,82547
OXYTRI_MIC_82548,ctg7180000082548,OXYTRI_MIC_82548,ARYC01013256,ARYC01013256.1,82548
OXYTRI_MIC_82549,ctg7180000082549,OXYTRI_MIC_82549,ARYC01013257,ARYC01013257.1,82549
OXYTRI_MIC_82550,ctg7180000082550,OXYTRI_MIC_82550,ARYC01013258,ARYC01013258.1,82550
OXYTRI_MIC_82551,ctg7180000082551,OXYTRI_MIC_82551,ARYC01013259,ARYC01013259.1,82551
OXYTRI_MIC_82552,ctg7180000082552,OXYTRI_MIC_82552,ARYC01013260,ARYC01013260.1,82552
OXYTRI_MIC_82553,ctg7180000082553,OXYTRI_MIC_82553,ARYC01013261,ARYC01013261.1,82553
OXYTRI_MIC_82554,ctg7180000082554,OXYTRI_MIC_82554,ARYC01013262,ARYC01013262.1,82554
OXYTRI_MIC_82555,ctg7180000082555,OXYTRI_MIC_82555,ARYC01013263,ARYC01013263.1,82555
OXYTRI_MIC_82556,ctg7180000082556,OXYTRI_MIC_82556,ARYC01013264,ARYC01013264.1,82556
OXYTRI_MIC_82557,ctg7180000082557,OXYTRI_MIC_82557,ARYC01013265,ARYC01013265.1,82557
OXYTRI_MIC_82558,ctg7180000082558,OXYTRI_MIC_82558,ARYC01013266,ARYC01013266.1,82558
OXYTRI_MIC_82560,ctg7180000082560,OXYTRI_MIC_82560,ARYC01013267,ARYC01013267.1,82560
OXYTRI_MIC_82561,ctg7180000082561,OXYTRI_MIC_82561,ARYC01013268,ARYC01013268.1,82561
OXYTRI_MIC_82562,ctg7180000082562,OXYTRI_MIC_82562,ARYC01013269,ARYC01013269.1,82562
OXYTRI_MIC_82564,ctg7180000082564,OXYTRI_MIC_82564,ARYC01013270,ARYC01013270.1,82564
OXYTRI_MIC_82565,ctg7180000082565,OXYTRI_MIC_82565,ARYC01013271,ARYC01013271.1,82565
OXYTRI_MIC_82566,ctg7180000082566,OXYTRI_MIC_82566,ARYC01013272,ARYC01013272.1,82566
OXYTRI_MIC_82570,ctg7180000082570,OXYTRI_MIC_82570,ARYC01013273,ARYC01013273.1,82570
OXYTRI_MIC_82571,ctg7180000082571,OXYTRI_MIC_82571,ARYC01013274,ARYC01013274.1,82571
OXYTRI_MIC_82572,ctg7180000082572,OXYTRI_MIC_82572,ARYC01013275,ARYC01013275.1,82572
OXYTRI_MIC_82573,ctg7180000082573,OXYTRI_MIC_82573,ARYC01013276,ARYC01013276.1,82573
OXYTRI_MIC_82574,ctg7180000082574,OXYTRI_MIC_82574,ARYC01013277,ARYC01013277.1,82574
OXYTRI_MIC_82575,ctg7180000082575,OXYTRI_MIC_82575,ARYC01013278,ARYC01013278.1,82575
OXYTRI_MIC_82577,ctg7180000082577,OXYTRI_MIC_82577,ARYC01013279,ARYC01013279.1,82577
OXYTRI_MIC_82578,ctg7180000082578,OXYTRI_MIC_82578,ARYC01013280,ARYC01013280.1,82578
OXYTRI_MIC_82579,ctg7180000082579,OXYTRI_MIC_82579,ARYC01013281,ARYC01013281.1,82579
OXYTRI_MIC_82580,ctg7180000082580,OXYTRI_MIC_82580,ARYC01013282,ARYC01013282.1,82580
OXYTRI_MIC_82581,ctg7180000082581,OXYTRI_MIC_82581,ARYC01013283,ARYC01013283.1,82581
OXYTRI_MIC_82582,ctg7180000082582,OXYTRI_MIC_82582,ARYC01013284,ARYC01013284.1,82582
OXYTRI_MIC_82583,ctg7180000082583,OXYTRI_MIC_82583,ARYC01013285,ARYC01013285.1,82583
OXYTRI_MIC_82584,ctg7180000082584,OXYTRI_MIC_82584,ARYC01013286,ARYC01013286.1,82584
OXYTRI_MIC_82585,ctg7180000082585,OXYTRI_MIC_82585,ARYC01013287,ARYC01013287.1,82585
OXYTRI_MIC_82586,ctg7180000082586,OXYTRI_MIC_82586,ARYC01013288,ARYC01013288.1,82586
OXYTRI_MIC_82587,ctg7180000082587,OXYTRI_MIC_82587,ARYC01013289,ARYC01013289.1,82587
OXYTRI_MIC_82588,ctg7180000082588,OXYTRI_MIC_82588,ARYC01013290,ARYC01013290.1,82588
OXYTRI_MIC_82589,ctg7180000082589,OXYTRI_MIC_82589,ARYC01013291,ARYC01013291.1,82589
OXYTRI_MIC_82590,ctg7180000082590,OXYTRI_MIC_82590,ARYC01013292,ARYC01013292.1,82590
OXYTRI_MIC_82591,ctg7180000082591,OXYTRI_MIC_82591,ARYC01013293,ARYC01013293.1,82591
OXYTRI_MIC_82592,ctg7180000082592,OXYTRI_MIC_82592,ARYC01013294,ARYC01013294.1,82592
OXYTRI_MIC_82593,ctg7180000082593,OXYTRI_MIC_82593,ARYC01013295,ARYC01013295.1,82593
OXYTRI_MIC_82594,ctg7180000082594,OXYTRI_MIC_82594,ARYC01013296,ARYC01013296.1,82594
OXYTRI_MIC_82595,ctg7180000082595,OXYTRI_MIC_82595,ARYC01013297,ARYC01013297.1,82595
OXYTRI_MIC_82596,ctg7180000082596,OXYTRI_MIC_82596,ARYC01013298,ARYC01013298.1,82596
OXYTRI_MIC_82597,ctg7180000082597,OXYTRI_MIC_82597,ARYC01013299,ARYC01013299.1,82597
OXYTRI_MIC_82598,ctg7180000082598,OXYTRI_MIC_82598,ARYC01013300,ARYC01013300.1,82598
OXYTRI_MIC_82599,ctg7180000082599,OXYTRI_MIC_82599,ARYC01013301,ARYC01013301.1,82599
OXYTRI_MIC_82600,ctg7180000082600,OXYTRI_MIC_82600,ARYC01013302,ARYC01013302.1,82600
OXYTRI_MIC_82601,ctg7180000082601,OXYTRI_MIC_82601,ARYC01013303,ARYC01013303.1,82601
OXYTRI_MIC_82602,ctg7180000082602,OXYTRI_MIC_82602,ARYC01013304,ARYC01013304.1,82602
OXYTRI_MIC_82604,ctg7180000082604,OXYTRI_MIC_82604,ARYC01013305,ARYC01013305.1,82604
OXYTRI_MIC_82606,ctg7180000082606,OXYTRI_MIC_82606,ARYC01013306,ARYC01013306.1,82606
OXYTRI_MIC_82607,ctg7180000082607,OXYTRI_MIC_82607,ARYC01013307,ARYC01013307.1,82607
OXYTRI_MIC_82608,ctg7180000082608,OXYTRI_MIC_82608,ARYC01013308,ARYC01013308.1,82608
OXYTRI_MIC_82609,ctg7180000082609,OXYTRI_MIC_82609,ARYC01013309,ARYC01013309.1,82609
OXYTRI_MIC_82610,ctg7180000082610,OXYTRI_MIC_82610,ARYC01013310,ARYC01013310.1,82610
OXYTRI_MIC_82612,ctg7180000082612,OXYTRI_MIC_82612,ARYC01013311,ARYC01013311.1,82612
OXYTRI_MIC_82613,ctg7180000082613,OXYTRI_MIC_82613,ARYC01013312,ARYC01013312.1,82613
OXYTRI_MIC_82614,ctg7180000082614,OXYTRI_MIC_82614,ARYC01013313,ARYC01013313.1,82614
OXYTRI_MIC_82616,ctg7180000082616,OXYTRI_MIC_82616,ARYC01013314,ARYC01013314.1,82616
OXYTRI_MIC_82617,ctg7180000082617,OXYTRI_MIC_82617,ARYC01013315,ARYC01013315.1,82617
OXYTRI_MIC_82618,ctg7180000082618,OXYTRI_MIC_82618,ARYC01013316,ARYC01013316.1,82618
OXYTRI_MIC_82619,ctg7180000082619,OXYTRI_MIC_82619,ARYC01013317,ARYC01013317.1,82619
OXYTRI_MIC_82620,ctg7180000082620,OXYTRI_MIC_82620,ARYC01013318,ARYC01013318.1,82620
OXYTRI_MIC_82622,ctg7180000082622,OXYTRI_MIC_82622,ARYC01013319,ARYC01013319.1,82622
OXYTRI_MIC_82623,ctg7180000082623,OXYTRI_MIC_82623,ARYC01013320,ARYC01013320.1,82623
OXYTRI_MIC_82625,ctg7180000082625,OXYTRI_MIC_82625,ARYC01013321,ARYC01013321.1,82625
OXYTRI_MIC_82626,ctg7180000082626,OXYTRI_MIC_82626,ARYC01013322,ARYC01013322.1,82626
OXYTRI_MIC_82634,ctg7180000082634,OXYTRI_MIC_82634,ARYC01013323,ARYC01013323.1,82634
OXYTRI_MIC_82636,ctg7180000082636,OXYTRI_MIC_82636,ARYC01013324,ARYC01013324.1,82636
OXYTRI_MIC_82637,ctg7180000082637,OXYTRI_MIC_82637,ARYC01013325,ARYC01013325.1,82637
OXYTRI_MIC_82641,ctg7180000082641,OXYTRI_MIC_82641,ARYC01013326,ARYC01013326.1,82641
OXYTRI_MIC_82642,ctg7180000082642,OXYTRI_MIC_82642,ARYC01013327,ARYC01013327.1,82642
OXYTRI_MIC_82643,ctg7180000082643,OXYTRI_MIC_82643,ARYC01013328,ARYC01013328.1,82643
OXYTRI_MIC_82644,ctg7180000082644,OXYTRI_MIC_82644,ARYC01013329,ARYC01013329.1,82644
OXYTRI_MIC_82645,ctg7180000082645,OXYTRI_MIC_82645,ARYC01013330,ARYC01013330.1,82645
OXYTRI_MIC_82647,ctg7180000082647,OXYTRI_MIC_82647,ARYC01013331,ARYC01013331.1,82647
OXYTRI_MIC_82649,ctg7180000082649,OXYTRI_MIC_82649,ARYC01013332,ARYC01013332.1,82649
OXYTRI_MIC_82650,ctg7180000082650,OXYTRI_MIC_82650,ARYC01013333,ARYC01013333.1,82650
OXYTRI_MIC_82651,ctg7180000082651,OXYTRI_MIC_82651,ARYC01013334,ARYC01013334.1,82651
OXYTRI_MIC_82652,ctg7180000082652,OXYTRI_MIC_82652,ARYC01013335,ARYC01013335.1,82652
OXYTRI_MIC_82653,ctg7180000082653,OXYTRI_MIC_82653,ARYC01013336,ARYC01013336.1,82653
OXYTRI_MIC_82654,ctg7180000082654,OXYTRI_MIC_82654,ARYC01013337,ARYC01013337.1,82654
OXYTRI_MIC_82655,ctg7180000082655,OXYTRI_MIC_82655,ARYC01013338,ARYC01013338.1,82655
OXYTRI_MIC_82656,ctg7180000082656,OXYTRI_MIC_82656,ARYC01013339,ARYC01013339.1,82656
OXYTRI_MIC_82658,ctg7180000082658,OXYTRI_MIC_82658,ARYC01013340,ARYC01013340.1,82658
OXYTRI_MIC_82659,ctg7180000082659,OXYTRI_MIC_82659,ARYC01013341,ARYC01013341.1,82659
OXYTRI_MIC_82660,ctg7180000082660,OXYTRI_MIC_82660,ARYC01013342,ARYC01013342.1,82660
OXYTRI_MIC_82661,ctg7180000082661,OXYTRI_MIC_82661,ARYC01013343,ARYC01013343.1,82661
OXYTRI_MIC_82662,ctg7180000082662,OXYTRI_MIC_82662,ARYC01013344,ARYC01013344.1,82662
OXYTRI_MIC_82665,ctg7180000082665,OXYTRI_MIC_82665,ARYC01013345,ARYC01013345.1,82665
OXYTRI_MIC_82667,ctg7180000082667,OXYTRI_MIC_82667,ARYC01013346,ARYC01013346.1,82667
OXYTRI_MIC_82668,ctg7180000082668,OXYTRI_MIC_82668,ARYC01013347,ARYC01013347.1,82668
OXYTRI_MIC_82669,ctg7180000082669,OXYTRI_MIC_82669,ARYC01013348,ARYC01013348.1,82669
OXYTRI_MIC_82670,ctg7180000082670,OXYTRI_MIC_82670,ARYC01013349,ARYC01013349.1,82670
OXYTRI_MIC_82671,ctg7180000082671,OXYTRI_MIC_82671,ARYC01013350,ARYC01013350.1,82671
OXYTRI_MIC_82673,ctg7180000082673,OXYTRI_MIC_82673,ARYC01013351,ARYC01013351.1,82673
OXYTRI_MIC_82674,ctg7180000082674,OXYTRI_MIC_82674,ARYC01013352,ARYC01013352.1,82674
OXYTRI_MIC_82676,ctg7180000082676,OXYTRI_MIC_82676,ARYC01013353,ARYC01013353.1,82676
OXYTRI_MIC_82677,ctg7180000082677,OXYTRI_MIC_82677,ARYC01013354,ARYC01013354.1,82677
OXYTRI_MIC_82678,ctg7180000082678,OXYTRI_MIC_82678,ARYC01013355,ARYC01013355.1,82678
OXYTRI_MIC_82679,ctg7180000082679,OXYTRI_MIC_82679,ARYC01013356,ARYC01013356.1,82679
OXYTRI_MIC_82680,ctg7180000082680,OXYTRI_MIC_82680,ARYC01013357,ARYC01013357.1,82680
OXYTRI_MIC_82681,ctg7180000082681,OXYTRI_MIC_82681,ARYC01013358,ARYC01013358.1,82681
OXYTRI_MIC_82682,ctg7180000082682,OXYTRI_MIC_82682,ARYC01013359,ARYC01013359.1,82682
OXYTRI_MIC_82685,ctg7180000082685,OXYTRI_MIC_82685,ARYC01013360,ARYC01013360.1,82685
OXYTRI_MIC_82686,ctg7180000082686,OXYTRI_MIC_82686,ARYC01013361,ARYC01013361.1,82686
OXYTRI_MIC_82687,ctg7180000082687,OXYTRI_MIC_82687,ARYC01013362,ARYC01013362.1,82687
OXYTRI_MIC_82688,ctg7180000082688,OXYTRI_MIC_82688,ARYC01013363,ARYC01013363.1,82688
OXYTRI_MIC_82689,ctg7180000082689,OXYTRI_MIC_82689,ARYC01013364,ARYC01013364.1,82689
OXYTRI_MIC_82690,ctg7180000082690,OXYTRI_MIC_82690,ARYC01013365,ARYC01013365.1,82690
OXYTRI_MIC_82691,ctg7180000082691,OXYTRI_MIC_82691,ARYC01013366,ARYC01013366.1,82691
OXYTRI_MIC_82693,ctg7180000082693,OXYTRI_MIC_82693,ARYC01013367,ARYC01013367.1,82693
OXYTRI_MIC_82694,ctg7180000082694,OXYTRI_MIC_82694,ARYC01013368,ARYC01013368.1,82694
OXYTRI_MIC_82695,ctg7180000082695,OXYTRI_MIC_82695,ARYC01013369,ARYC01013369.1,82695
OXYTRI_MIC_82696,ctg7180000082696,OXYTRI_MIC_82696,ARYC01013370,ARYC01013370.1,82696
OXYTRI_MIC_82698,ctg7180000082698,OXYTRI_MIC_82698,ARYC01013371,ARYC01013371.1,82698
OXYTRI_MIC_82699,ctg7180000082699,OXYTRI_MIC_82699,ARYC01013372,ARYC01013372.1,82699
OXYTRI_MIC_82700,ctg7180000082700,OXYTRI_MIC_82700,ARYC01013373,ARYC01013373.1,82700
OXYTRI_MIC_82701,ctg7180000082701,OXYTRI_MIC_82701,ARYC01013374,ARYC01013374.1,82701
